single_premium=100000.0
type=static_hybrid
benefit_at_maturity=153441.25458066555
irr=0.021638161903925424



t	traditional_part	fund_part	total
0	76818.47564268271	15681.524357317292	92500.0
1	77004.92332830539	15681.524357317292	92686.44768562268
2	77191.83084421924	15681.524357317292	92873.35520153653
3	77379.19932448979	15681.524357317292	93060.72368180708
4	77567.02990597952	15681.524357317292	93248.55426329681
5	77755.32372835469	15681.524357317292	93436.84808567198
6	77944.0819340923	15681.524357317292	93625.6062914096
7	78133.305668487	15681.524357317292	93814.83002580429
8	78322.99607965803	15681.524357317292	94004.52043697532
9	78513.15431855623	15681.524357317292	94194.67867587353
10	78703.78153897099	15681.524357317292	94385.30589628828
11	78894.87889753723	15681.524357317292	94576.40325485452
12	79086.44755374247	15681.524357317292	94767.97191105977
13	79278.48866993384	15681.524357317292	94960.01302725113
14	79471.0034113251	15681.524357317292	95152.5277686424
15	79663.99294600378	15681.524357317292	95345.51730332107
16	79857.45844493821	15681.524357317292	95538.9828022555
17	80051.40108198464	15681.524357317292	95732.92543930194
18	80245.82203389438	15681.524357317292	95927.34639121167
19	80440.72248032091	15681.524357317292	96122.2468376382
20	80636.10360382708	15681.524357317292	96317.62796114438
21	80831.96658989224	15681.524357317292	96513.49094720953
22	81028.31262691943	15681.524357317292	96709.83698423672
23	81225.14290624266	15681.524357317292	96906.66726355995
24	81422.45862213406	15681.524357317292	97103.98297945135
25	81620.26097181116	15681.524357317292	97301.78532912846
26	81818.55115544416	15681.524357317292	97500.07551276145
27	82017.3303761632	15681.524357317292	97698.85473348049
28	82216.59984006565	15681.524357317292	97898.12419738295
29	82416.36075622348	15681.524357317292	98097.88511354077
30	82616.61433669052	15681.524357317292	98298.13869400781
31	82817.36179650985	15681.524357317292	98498.88615382714
32	83018.60435372121	15681.524357317292	98700.1287110385
33	83220.34322936831	15681.524357317292	98901.8675866856
34	83422.57964750633	15681.524357317292	99104.10400482362
35	83625.31483520925	15681.524357317292	99306.83919252655
36	83828.55002257739	15681.524357317292	99510.07437989468
37	84032.2864427448	15681.524357317292	99713.81080006209
38	84236.52533188678	15681.524357317292	99918.04968920407
39	84441.26792922738	15681.524357317292	100122.79228654467
40	84646.51547704691	15681.524357317292	100328.0398343642
41	84852.26922068947	15681.524357317292	100533.79357800676
42	85058.53040857051	15681.524357317292	100740.0547658878
43	85265.30029218443	15681.524357317292	100946.82464950172
44	85472.58012611212	15681.524357317292	101154.10448342942
45	85680.37116802864	15681.524357317292	101361.89552534593
46	85888.67467871078	15681.524357317292	101570.19903602808
47	86097.49192204479	15681.524357317292	101779.01627936208
48	86306.82416503398	15681.524357317292	101988.34852235127
49	86516.67267780642	15681.524357317292	102198.19703512371
50	86727.03873362267	15681.524357317292	102408.56309093996
51	86937.9236088835	15681.524357317292	102619.4479662008
52	87149.32858313763	15681.524357317292	102830.85294045492
53	87361.25493908947	15681.524357317292	103042.77929640676
54	87573.70396260695	15681.524357317292	103255.22831992424
55	87786.67694272927	15681.524357317292	103468.20130004657
56	88000.1751716748	15681.524357317292	103681.69952899209
57	88214.1999448488	15681.524357317292	103895.7243021661
58	88428.75256085143	15681.524357317292	104110.27691816872
59	88643.83432148545	15681.524357317292	104325.35867880275
60	88859.44653176432	15681.524357317292	104540.97088908161
61	89075.59049991993	15681.524357317292	104757.11485723722
62	89292.26753741066	15681.524357317292	104973.79189472795
63	89509.47895892932	15681.524357317292	105191.00331624661
64	89727.22608241107	15681.524357317292	105408.75043972836
65	89945.51022904147	15681.524357317292	105627.03458635876
66	90164.33272326447	15681.524357317292	105845.85708058176
67	90383.69489279047	15681.524357317292	106065.21925010777
68	90603.59806860436	15681.524357317292	106285.12242592165
69	90824.0435849736	15681.524357317292	106505.56794229089
70	91045.03277945629	15681.524357317292	106726.55713677358
71	91266.56699290934	15681.524357317292	106948.09135022663
72	91488.64756949656	15681.524357317292	107170.17192681385
73	91711.27585669684	15681.524357317292	107392.80021401413
74	91934.4532053123	15681.524357317292	107615.97756262959
75	92158.18096947651	15681.524357317292	107839.7053267938
76	92382.46050666271	15681.524357317292	108063.98486398
77	92607.29317769202	15681.524357317292	108288.81753500931
78	92832.6803467417	15681.524357317292	108514.204704059
79	93058.6233813535	15681.524357317292	108740.14773867078
80	93285.1236524418	15681.524357317292	108966.6480097591
81	93512.18253430212	15681.524357317292	109193.70689161941
82	93739.8014046193	15681.524357317292	109421.32576193659
83	93967.98164447595	15681.524357317292	109649.50600179324
84	94196.72463836079	15681.524357317292	109878.24899567808
85	94426.03177417707	15681.524357317292	110107.55613149436
86	94655.904443251	15681.524357317292	110337.42880056829
87	94886.34404034013	15681.524357317292	110567.86839765742
88	95117.35196364191	15681.524357317292	110798.8763209592
89	95348.9296148021	15681.524357317292	111030.45397211939
90	95581.07839892327	15681.524357317292	111262.60275624057
91	95813.79972457342	15681.524357317292	111495.3240818907
92	96047.09500379437	15681.524357317292	111728.61936111166
93	96280.96565211049	15681.524357317292	111962.49000942778
94	96515.41308853719	15681.524357317292	112196.93744585448
95	96750.43873558953	15681.524357317292	112431.96309290682
96	96986.04401929092	15681.524357317292	112667.56837660821
97	97222.23036918169	15681.524357317292	112903.75472649898
98	97458.99921832784	15681.524357317292	113140.52357564513
99	97696.35200332965	15681.524357317292	113377.87636064694
100	97934.2901643305	15681.524357317292	113615.81452164779
101	98172.81514502548	15681.524357317292	113854.33950234277
102	98411.92839267029	15681.524357317292	114093.45274998758
103	98651.63135808993	15681.524357317292	114333.15571540722
104	98891.92549568752	15681.524357317292	114573.44985300481
105	99132.81226345313	15681.524357317292	114814.33662077042
106	99374.29312297262	15681.524357317292	115055.81748028992
107	99616.36953943653	15681.524357317292	115297.89389675383
108	99859.04298164896	15681.524357317292	115540.56733896626
109	100102.31492203646	15681.524357317292	115783.83927935375
110	100346.18683665698	15681.524357317292	116027.71119397428
111	100590.66020520886	15681.524357317292	116272.18456252615
112	100835.73651103972	15681.524357317292	116517.26086835701
113	101081.41724115556	15681.524357317292	116762.94159847285
114	101327.70388622972	15681.524357317292	117009.22824354701
115	101574.59794061194	15681.524357317292	117256.12229792924
116	101822.10090233746	15681.524357317292	117503.62525965476
117	102070.21427313604	15681.524357317292	117751.73863045333
118	102318.93955844111	15681.524357317292	118000.4639157584
119	102568.27826739894	15681.524357317292	118249.80262471623
120	102818.23191287775	15681.524357317292	118499.75627019504
121	103068.80201147687	15681.524357317292	118750.32636879417
122	103319.99008353602	15681.524357317292	119001.51444085331
123	103571.79765314444	15681.524357317292	119253.32201046174
124	103824.22624815023	15681.524357317292	119505.75060546752
125	104077.27740016954	15681.524357317292	119758.80175748683
126	104330.95264459592	15681.524357317292	120012.47700191321
127	104585.25352060962	15681.524357317292	120266.77787792691
128	104840.1815711869	15681.524357317292	120521.70592850419
129	105095.73834310943	15681.524357317292	120777.26270042673
130	105351.92538697367	15681.524357317292	121033.44974429096
131	105608.74425720025	15681.524357317292	121290.26861451754
132	105866.19651204342	15681.524357317292	121547.72086936071
133	106124.28371360051	15681.524357317292	121805.8080709178
134	106383.00742782143	15681.524357317292	122064.53178513872
135	106642.3692245181	15681.524357317292	122323.8935818354
136	106902.37067737406	15681.524357317292	122583.89503469135
137	107163.01336395396	15681.524357317292	122844.53772127125
138	107424.29886571314	15681.524357317292	123105.82322303043
139	107686.22876800725	15681.524357317292	123367.75312532454
140	107948.80466010184	15681.524357317292	123630.32901741914
141	108212.02813518204	15681.524357317292	123893.55249249934
142	108475.9007903622	15681.524357317292	124157.42514767949
143	108740.42422669557	15681.524357317292	124421.94858401286
144	109005.60004918404	15681.524357317292	124687.12440650133
145	109271.42986678785	15681.524357317292	124952.95422410514
146	109537.91529243538	15681.524357317292	125219.43964975268
147	109805.05794303297	15681.524357317292	125486.58230035026
148	110072.8594394746	15681.524357317292	125754.3837967919
149	110341.3214066519	15681.524357317292	126022.84576396919
150	110610.44547346386	15681.524357317292	126291.96983078115
151	110880.2332728268	15681.524357317292	126561.75763014409
152	111150.68644168423	15681.524357317292	126832.21079900152
153	111421.80662101685	15681.524357317292	127103.33097833414
154	111693.59545585241	15681.524357317292	127375.1198131697
155	111966.05459527578	15681.524357317292	127647.57895259307
156	112239.1856924389	15681.524357317292	127920.71004975619
157	112512.99040457082	15681.524357317292	128194.51476188812
158	112787.4703929878	15681.524357317292	128468.9947503051
159	113062.62732310331	15681.524357317292	128744.1516804206
160	113338.4628644382	15681.524357317292	129019.9872217555
161	113614.97869063081	15681.524357317292	129296.5030479481
162	113892.17647944712	15681.524357317292	129573.70083676442
163	114170.05791279094	15681.524357317292	129851.58227010824
164	114448.6246767141	15681.524357317292	130130.14903403139
165	114727.87846142669	15681.524357317292	130409.40281874398
166	115007.82096130733	15681.524357317292	130689.34531862462
167	115288.4538749134	15681.524357317292	130969.97823223069
168	115569.7789049914	15681.524357317292	131251.3032623087
169	115851.79775848729	15681.524357317292	131533.3221158046
170	116134.51214655676	15681.524357317292	131816.03650387406
171	116417.92378457573	15681.524357317292	132099.44814189302
172	116702.03439215067	15681.524357317292	132383.55874946795
173	116986.84569312906	15681.524357317292	132668.37005044636
174	117272.35941560986	15681.524357317292	132953.88377292716
175	117558.57729195399	15681.524357317292	133240.10164927127
176	117845.50105879485	15681.524357317292	133527.02541611216
177	118133.13245704882	15681.524357317292	133814.6568143661
178	118421.47323192588	15681.524357317292	134102.99758924317
179	118710.52513294012	15681.524357317292	134392.0494902574
180	119000.28991392047	15681.524357317292	134681.81427123776
181	119290.76933302122	15681.524357317292	134972.2936903385
182	119581.96515273278	15681.524357317292	135263.48951005007
183	119873.87913989232	15681.524357317292	135555.4034972096
184	120166.51306569451	15681.524357317292	135848.0374230118
185	120459.86870570225	15681.524357317292	136141.39306301955
186	120753.94783985747	15681.524357317292	136435.47219717476
187	121048.75225249193	15681.524357317292	136730.27660980923
188	121344.28373233801	15681.524357317292	137025.8080896553
189	121640.5440725396	15681.524357317292	137322.0684298569
190	121937.53507066297	15681.524357317292	137619.05942798028
191	122235.25852870765	15681.524357317292	137916.78288602494
192	122533.71625311741	15681.524357317292	138215.2406104347
193	122832.9100547912	15681.524357317292	138514.4344121085
194	123132.8417490941	15681.524357317292	138814.36610641138
195	123433.51315586844	15681.524357317292	139115.03751318573
196	123734.92609944468	15681.524357317292	139416.450456762
197	124037.08240865266	15681.524357317292	139718.60676596995
198	124339.98391683254	15681.524357317292	140021.50827414985
199	124643.63246184603	15681.524357317292	140325.15681916333
200	124948.0298860875	15681.524357317292	140629.5542434048
201	125253.17803649514	15681.524357317292	140934.70239381242
202	125559.0787645622	15681.524357317292	141240.6031218795
203	125865.73392634823	15681.524357317292	141547.25828366552
204	126173.14538249029	15681.524357317292	141854.66973980758
205	126481.31499821428	15681.524357317292	142162.83935553156
206	126790.24464334628	15681.524357317292	142471.76900066357
207	127099.93619232383	15681.524357317292	142781.4605496411
208	127410.39152420737	15681.524357317292	143091.91588152468
209	127721.61252269159	15681.524357317292	143403.13688000888
210	128033.60107611687	15681.524357317292	143715.12543343415
211	128346.35907748077	15681.524357317292	144027.88343479804
212	128659.88842444947	15681.524357317292	144341.41278176676
213	128974.19101936933	15681.524357317292	144655.71537668662
214	129289.26876927841	15681.524357317292	144970.7931265957
215	129605.12358591802	15681.524357317292	145286.6479432353
216	129921.75738574433	15681.524357317292	145603.2817430616
217	130239.17208994005	15681.524357317292	145920.69644725736
218	130557.369624426	15681.524357317292	146238.8939817433
219	130876.35191987289	15681.524357317292	146557.87627719017
