single_premium=100000.0
type=static_hybrid
benefit_at_maturity=166082.30754184167
irr=0.025690111347143052



t	traditional_part	fund_part	total
0	76818.47564268271	15681.524357317292	92500.0
1	77004.92332830539	15720.199226823388	92725.12255512878
2	77191.83084421924	15758.969478991094	92950.80032321034
3	77379.19932448979	15797.835349059786	93177.03467354957
4	77567.02990597952	15836.797072849002	93403.82697882853
5	77755.32372835469	15875.854886759877	93631.17861511456
6	77944.0819340923	15915.009027776572	93859.09096186887
7	78133.305668487	15954.259733467718	94087.56540195471
8	78322.99607965803	15993.607241987851	94316.60332164587
9	78513.15431855623	16033.051792078862	94546.2061106351
10	78703.78153897099	16072.593623071447	94776.37516204243
11	78894.87889753723	16112.232974886549	95007.11187242377
12	79086.44755374247	16151.970088036825	95238.41764177929
13	79278.48866993384	16191.805203628104	95470.29387356194
14	79471.0034113251	16231.738563360841	95702.74197468594
15	79663.99294600378	16271.770409531593	95935.76335553537
16	79857.45844493821	16311.900985034486	96169.3594299727
17	80051.40108198464	16352.130533362688	96403.53161534734
18	80245.82203389438	16392.459298609883	96638.28133250427
19	80440.72248032091	16432.887525471764	96873.61000579267
20	80636.10360382708	16473.415459247502	97109.51906307458
21	80831.96658989224	16514.043345841244	97346.00993573348
22	81028.31262691943	16554.771431763606	97583.08405868305
23	81225.14290624266	16595.599964133162	97820.74287037582
24	81422.45862213406	16636.52919067795	98058.987812812
25	81620.26097181116	16677.559359736966	98297.82033154814
26	81818.55115544416	16718.690720261686	98537.24187570585
27	82017.3303761632	16759.92352181756	98777.25389798076
28	82216.59984006565	16801.25801458554	99017.8578546512
29	82416.36075622348	16842.694449363586	99259.05520558706
30	82616.61433669052	16884.2330775682	99500.84741425872
31	82817.36179650985	16925.874151235934	99743.2359477458
32	83018.60435372121	16967.617923024944	99986.22227674615
33	83220.34322936831	17009.464646216496	100229.80787558481
34	83422.57964750633	17051.414574716528	100473.99422222286
35	83625.31483520925	17093.46796305717	100718.78279826642
36	83828.55002257739	17135.6250663983	100964.1750889757
37	84032.2864427448	17177.886140529088	101210.17258327387
38	84236.52533188678	17220.25144186955	101456.77677375633
39	84441.26792922738	17262.721227472102	101703.98915669948
40	84646.51547704691	17305.295755023122	101951.81123207003
41	84852.26922068947	17347.975282844513	102200.24450353399
42	85058.53040857051	17390.760069895263	102449.29047846577
43	85265.30029218443	17433.65037577303	102698.95066795746
44	85472.58012611212	17476.64646071571	102949.22658682783
45	85680.37116802864	17519.74858560301	103200.11975363165
46	85888.67467871078	17562.957011958042	103451.63169066883
47	86097.49192204479	17606.272001948902	103703.7639239937
48	86306.82416503398	17649.693818390268	103956.51798342424
49	86516.67267780642	17693.222724744977	104209.8954025514
50	86727.03873362267	17736.85898512565	104463.89771874833
51	86937.9236088835	17780.60286429628	104718.52647317978
52	87149.32858313763	17824.454627673833	104973.78321081147
53	87361.25493908947	17868.414541329865	105229.66948041934
54	87573.70396260695	17912.48287199214	105486.18683459908
55	87786.67694272927	17956.65988704624	105743.33682977551
56	88000.1751716748	18000.9458545372	106001.121026212
57	88214.1999448488	18045.34104317112	106259.54098801993
58	88428.75256085143	18089.845722316804	106518.59828316823
59	88643.83432148545	18134.46016200739	106778.29448349285
60	88859.44653176432	18179.184632941997	107038.63116470631
61	89075.59049991993	18224.01940648735	107299.60990640728
62	89292.26753741066	18268.964754679448	107561.2322920901
63	89509.47895892932	18314.020950225196	107823.49990915452
64	89727.22608241107	18359.188266504072	108086.41434891515
65	89945.51022904147	18404.466977569784	108349.97720661125
66	90164.33272326447	18449.857358151927	108614.1900814164
67	90383.69489279047	18495.35968365765	108879.05457644812
68	90603.59806860436	18540.97423017334	109144.5722987777
69	90824.0435849736	18586.701274466275	109410.74485943987
70	91045.03277945629	18632.54109398633	109677.57387344263
71	91266.56699290934	18678.493966867634	109945.06095977698
72	91488.64756949656	18724.560171930276	110213.20774142684
73	91711.27585669684	18770.739988681988	110482.01584537883
74	91934.4532053123	18817.033697319846	110751.48690263214
75	92158.18096947651	18863.441578731967	111021.62254820848
76	92382.46050666271	18909.96391449921	111292.42442116192
77	92607.29317769202	18956.600986896894	111563.89416458891
78	92832.6803467417	19003.3530788965	111836.0334256382
79	93058.6233813535	19050.220474167396	112108.84385552088
80	93285.1236524418	19097.203457078554	112382.32710952035
81	93512.18253430212	19144.30231270028	112656.4848470024
82	93739.8014046193	19191.517326805937	112931.31873142524
83	93967.98164447595	19238.84878587368	113206.83043034963
84	94196.72463836079	19286.2969770882	113483.02161544899
85	94426.03177417707	19333.862188342464	113759.89396251953
86	94655.904443251	19381.544708239457	114037.44915149045
87	94886.34404034013	19429.34482609394	114315.68886643407
88	95117.35196364191	19477.2628319342	114594.61479557611
89	95348.9296148021	19525.299016503814	114874.22863130592
90	95581.07839892327	19573.453671263407	115154.53207018669
91	95813.79972457342	19621.727088392432	115435.52681296585
92	96047.09500379437	19670.11956079093	115717.2145645853
93	96280.96565211049	19718.63138208131	115999.5970341918
94	96515.41308853719	19767.262846610134	116282.67593514732
95	96750.43873558953	19816.01424944991	116566.45298503945
96	96986.04401929092	19864.885886400865	116850.92990569178
97	97222.23036918169	19913.878053992757	117136.10842317445
98	97458.99921832784	19962.99104948666	117421.9902678145
99	97696.35200332965	20012.225170876776	117708.57717420642
100	97934.2901643305	20061.580716892244	117995.87088122274
101	98172.81514502548	20111.057986998945	118283.87313202443
102	98411.92839267029	20160.657281401327	118572.58567407163
103	98651.63135808993	20210.37890104422	118862.01025913414
104	98891.92549568752	20260.22314761467	119152.1486433022
105	99132.81226345313	20310.19032354376	119443.0025869969
106	99374.29312297262	20360.28073200845	119734.57385498108
107	99616.36953943653	20410.49467693342	120026.86421636996
108	99859.04298164896	20460.832462992905	120319.87544464186
109	100102.31492203646	20511.294395612553	120613.60931764901
110	100346.18683665698	20561.880780971274	120908.06761762826
111	100590.66020520886	20612.591926003097	121203.25213121195
112	100835.73651103972	20663.42813839903	121499.16464943875
113	101081.41724115556	20714.389726608933	121795.8069677645
114	101327.70388622972	20765.476999843388	122093.18088607311
115	101574.59794061194	20816.69026807557	122391.28820868752
116	101822.10090233746	20868.02984204313	122690.1307443806
117	102070.21427313604	20919.496033250092	122989.71030638613
118	102318.93955844111	20971.089153968725	123290.02871240984
119	102568.27826739894	21022.809517241443	123591.08778464039
120	102818.23191287775	21074.657436882713	123892.88934976046
121	103068.80201147687	21126.633227480954	124195.43523895783
122	103319.99008353602	21178.737204400437	124498.72728793646
123	103571.79765314444	21230.969683783213	124802.76733692766
124	103824.22624815023	21283.330982551022	125107.55723070125
125	104077.27740016954	21335.821418407224	125413.09881857676
126	104330.95264459592	21388.441309838712	125719.39395443464
127	104585.25352060962	21441.190976117858	126026.44449672748
128	104840.1815711869	21494.070737304446	126334.25230849134
129	105095.73834310943	21547.080914247617	126642.81925735706
130	105351.92538697367	21600.221828587808	126952.14721556148
131	105608.74425720025	21653.49380275871	127262.23805995895
132	105866.19651204342	21706.897159989217	127573.09367203264
133	106124.28371360051	21760.432224305405	127884.71593790592
134	106383.00742782143	21814.099320532474	128197.10674835391
135	106642.3692245181	21867.898774296733	128510.26799881483
136	106902.37067737406	21921.830912027577	128824.20158940164
137	107163.01336395396	21975.896060959465	129138.90942491342
138	107424.29886571314	22030.094549133897	129454.39341484703
139	107686.22876800725	22084.42670540142	129770.65547340867
140	107948.80466010184	22138.89285942361	130087.69751952545
141	108212.02813518204	22193.493341675075	130405.52147685712
142	108475.9007903622	22248.228483445473	130724.12927380767
143	108740.42422669557	22303.0986168415	131043.52284353707
144	109005.60004918404	22358.104074788924	131363.70412397297
145	109271.42986678785	22413.245191034595	131684.67505782243
146	109537.91529243538	22468.522300148474	132006.43759258385
147	109805.05794303297	22523.935737525662	132328.99368055863
148	110072.8594394746	22579.48583938843	132652.34527886304
149	110341.3214066519	22635.172942788275	132976.49434944018
150	110610.44547346386	22690.99738560794	133301.4428590718
151	110880.2332728268	22746.95950656349	133627.1927793903
152	111150.68644168423	22803.059645206344	133953.74608689058
153	111421.80662101685	22859.298141925356	134281.1047629422
154	111693.59545585241	22915.675337948865	134609.2707938013
155	111966.05459527578	22972.191575346773	134938.24617062256
156	112239.1856924389	23028.84719703262	135268.0328894715
157	112512.99040457082	23085.642546765663	135598.63295133648
158	112787.4703929878	23142.577969152957	135930.04836214075
159	113062.62732310331	23199.65380965146	136262.28113275478
160	113338.4628644382	23256.870414570112	136595.3332790083
161	113614.97869063081	23314.22813107195	136929.20682170277
162	113892.17647944712	23371.727307176207	137263.90378662333
163	114170.05791279094	23429.36829176042	137599.42620455136
164	114448.6246767141	23487.15143456256	137935.77611127665
165	114727.87846142669	23545.07708618314	138272.95554760983
166	115007.82096130733	23603.145598087354	138610.96655939467
167	115288.4538749134	23661.3573226072	138949.81119752058
168	115569.7789049914	23719.712612943622	139289.491517935
169	115851.79775848729	23778.211823168655	139630.00958165593
170	116134.51214655676	23836.85530822757	139971.36745478434
171	116417.92378457573	23895.643423941026	140313.56720851676
172	116702.03439215067	23954.57652700724	140656.61091915792
173	116986.84569312906	24013.654975004134	141000.5006681332
174	117272.35941560986	24072.879126391515	141345.23854200137
175	117558.57729195399	24132.249340513255	141690.82663246724
176	117845.50105879485	24191.765977599458	142037.2670363943
177	118133.13245704882	24251.429398768658	142384.56185581748
178	118421.47323192588	24311.239966029996	142732.71319795586
179	118710.52513294012	24371.198042285436	143081.72317522555
180	119000.28991392047	24431.30399133195	143431.5939052524
181	119290.76933302122	24491.558177863735	143782.32751088496
182	119581.96515273278	24551.960967474417	144133.9261202072
183	119873.87913989232	24612.51272665928	144486.3918665516
184	120166.51306569451	24673.213822817477	144839.726888512
185	120459.86870570225	24734.06462425428	145193.93332995652
186	120753.94783985747	24795.065500183282	145549.01334004075
187	121048.75225249193	24856.216820728674	145904.96907322062
188	121344.28373233801	24917.518956927463	146261.80268926546
189	121640.5440725396	24978.972280731738	146619.51635327135
190	121937.53507066297	25040.577165010916	146978.11223567388
191	122235.25852870765	25102.33398355402	147337.59251226168
192	122533.71625311741	25164.243111071934	147697.95936418936
193	122832.9100547912	25226.30492319967	148059.21497799087
194	123132.8417490941	25288.519796498673	148421.36154559278
195	123433.51315586844	25350.88810845908	148784.40126432752
196	123734.92609944468	25413.410237502027	149148.3363369467
197	124037.08240865266	25476.08656298193	149513.1689716346
198	124339.98391683254	25538.917465188806	149878.90138202134
199	124643.63246184603	25601.90332535056	150245.5357871966
200	124948.0298860875	25665.044525635312	150613.07441172283
201	125253.17803649514	25728.341449153715	150981.51948564887
202	125559.0787645622	25791.79447996127	151350.87324452348
203	125865.73392634823	25855.404003060667	151721.1379294089
204	126173.14538249029	25919.170404404114	152092.3157868944
205	126481.31499821428	25983.094070895684	152464.40906910997
206	126790.24464334628	26047.17539039366	152837.42003373994
207	127099.93619232383	26111.41475171288	153211.3509440367
208	127410.39152420737	26175.812544627115	153586.2040688345
209	127721.61252269159	26240.369159871418	153961.981682563
210	128033.60107611687	26305.0849891445	154338.68606526137
211	128346.35907748077	26369.960425111105	154716.31950259188
212	128659.88842444947	26434.9958614044	155094.88428585388
213	128974.19101936933	26500.191692628356	155474.3827119977
214	129289.26876927841	26565.548314360138	155854.81708363854
215	129605.12358591802	26631.066123152516	156236.18970907055
216	129921.75738574433	26696.745516536266	156618.5029022806
217	130239.17208994005	26762.586893022584	157001.75898296264
218	130557.369624426	26828.590652105497	157385.9602765315
219	130876.35191987289	26894.757194264294	157771.1091141372
220	131196.12091171293	26961.086920965954	158157.2078326789
221	131516.67854015168	27027.580234667585	158544.25877481926
222	131838.02675017974	27094.23753881886	158932.2642889986
223	132160.16749158455	27161.059237864465	159321.226729449
224	132483.10271896233	27228.04573724656	159711.14845620887
225	132806.8343917298	27295.197443407233	160102.03183513702
226	133131.36447413615	27362.51476379097	160493.87923792712
227	133456.69493527495	27429.99810684712	160886.69304212206
228	133782.82774909606	27497.647882032386	161280.47563112844
229	134109.76489441766	27565.464499813294	161675.22939423096
230	134437.5083549382	27633.448371668692	162070.9567266069
231	134766.0601192485	27701.599910092253	162467.66002934074
232	135095.42218084374	27769.919528594965	162865.3417094387
233	135425.59653813564	27838.407641707643	163264.0041798433
234	135756.5851944645	27907.064664983456	163663.64985944796
235	136088.39015811146	27975.89101500043	164064.2811731119
236	136421.01344231056	28044.887109363986	164465.90055167454
237	136754.45706526106	28114.05336670948	164868.51043197053
238	137088.72305013958	28183.390206704727	165272.1132568443
239	137423.81342511254	28252.89805005256	165676.7114751651
240	137759.73022334828	28322.577318493382	166082.30754184167
