single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=97869.55907992496
irr=-0.001076151719031082



t	traditional_part	fund_part	total
0	14092.37821341354	78407.62178658646	92500.0
1	14030.30996451854	78501.43824307976	92531.7482075983
2	13968.867534288584	78594.47580386193	92563.34333815052
3	13908.044751784355	78686.74218330998	92594.78693509434
4	13847.83550694422	78778.24501970397	92626.08052664819
5	13788.233749983168	78868.99187597832	92657.22562596148
6	13729.233490798431	78958.99024046477	92688.2237312632
7	13670.82879838067	79048.24752762848	92719.07632600915
8	13613.0138002311	79136.77107879652	92749.78487902762
9	13555.782681784036	79224.56816287973	92780.35084466377
10	13499.129685835635	79311.64597708681	92810.77566292245
11	13443.04911197785	79398.01164763187	92841.06075960971
12	13387.535316038124	79483.67223043475	92871.20754647287
13	13332.582709524924	79568.63471181423	92901.21742133916
14	13278.185759078082	79652.90600917499	92931.09176825307
15	13224.338985925062	79736.49297168733	92960.83195761239
16	13171.036965342239	79819.40238096053	92990.43934630277
17	13118.274326122275	79901.64095170869	93019.91527783097
18	13066.0457500456	79983.21533241135	93049.26108245694
19	13014.34597135779	80064.13210596671	93078.4780773245
20	12963.169776252307	80144.39779033833	93107.56756659065
21	12912.512002357733	80224.018839196	93136.53084155373
22	12862.367538230334	80303.00164255	93165.36918078034
23	12812.731322851909	80381.35252737891	93194.08385023082
24	12763.598345132054	80459.07775825166	93222.67610338371
25	12714.963643415902	80536.18353794292	93251.14718135883
26	12666.822304996223	80612.67600804298	93279.4983130392
27	12619.169465630664	80688.56124956117	93307.73071519184
28	12572.000309063407	80763.84528352377	93335.84559258718
29	12525.310066552263	80838.53407156523	93363.84413811749
30	12479.09401639935	80912.63351651469	93391.72753291404
31	12433.347483487507	80986.14946297559	93419.4969464631
32	12388.065838820457	81059.0876979004	93447.15353672086
33	12343.244499068063	81131.45395115906	93474.69845022712
34	12298.878926115529	81203.25389610247	93502.132822218
35	12254.964626617568	81274.49315011982	93529.45777673738
36	12211.497151556685	81345.17727519065	93556.67442674734
37	12168.4720958059	81415.31177843157	93583.78387423747
38	12125.88509769573	81484.90211263743	93610.78721033316
39	12083.731838585607	81553.95367681711	93637.68551540271
40	12042.008042439094	81622.47181672443	93664.47985916352
41	12000.709475403795	81690.46182538332	93691.17130078711
42	11959.831945395412	81757.92894360777	93717.76088900318
43	11919.371301685296	81824.87836051732	93744.24966220262
44	11879.323434492606	81891.31521404692	93770.63864853952
45	11839.684274580593	81957.24459145153	93796.92886603212
46	11800.449792856283	82022.67152980654	93823.12132266282
47	11761.61599997469	82087.60101650252	93849.21701647721
48	11723.178945946604	82152.03798973547	93875.21693568208
49	11685.134719750467	82215.98733899198	93901.12205874245
50	11647.479448947573	82279.45390553017	93926.93335447775
51	11610.209299301932	82342.44248285497	93952.6517821569
52	11573.320474403152	82404.95781718942	93978.27829159258
53	11536.809215293342	82467.00460794113	94003.81382323446
54	11500.671800097538	82528.58750816413	94029.25930826167
55	11464.904543658078	82589.71112501604	94054.61566867412
56	11429.503797172167	82650.38002021101	94079.88381738318
57	11394.465947833358	82710.5987104679	94105.06465830126
58	11359.787418476455	82770.37166795417	94130.15908643062
59	11325.46466722569	82829.7033207256	94155.1679879513
60	11291.494187147082	82888.59805316097	94180.09224030805
61	11257.872505903131	82947.06020639351	94204.93271229664
62	11224.59618541198	83005.0940787371	94229.69026414907
63	11191.661821509273	83062.70392610888	94254.36574761815
64	11159.066043613684	83119.89396244739	94278.96000606107
65	11126.805514395324	83176.66836012693	94303.47387452226
66	11094.876929448044	83233.03125036735	94327.9081798154
67	11063.277016964556	83288.98672364005	94352.2637406046
68	11032.002537414757	83344.53883007009	94376.54136748484
69	11001.05028322735	83399.69157983418	94400.74186306153
70	10970.417078474577	83454.44894355474	94424.86602202932
71	10940.099778560025	83508.8148526902	94448.91463125021
72	10910.095269909614	83562.79319992114	94472.88846983075
73	10880.40046966552	83616.38783953305	94496.78830919857
74	10851.012325383143	83669.60258779502	94520.61491317816
75	10821.927814731072	83722.44122333475	94544.36903806582
76	10793.143945193962	83774.90748751006	94568.05143270403
77	10764.65775377855	83827.00508477632	94591.66283855487
78	10736.466306722257	83878.73768305064	94615.2039897729
79	10708.566699205025	83930.10891407219	94638.67561327721
80	10680.956055063569	83981.12237375928	94662.07842882285
81	10653.6315265088	84031.78162256263	94685.41314907144
82	10626.590293845946	84082.09018581525	94708.6804796612
83	10599.829565197177	84132.05155407908	94731.88111927625
84	10573.346576227475	84181.66918348768	94755.01575971516
85	10547.138589872844	84230.94649608604	94778.08508595888
86	10521.202896071176	84279.88688016689	94801.08977623806
87	10495.536811495813	84328.49369060379	94824.0305020996
88	10470.137679292166	84376.77024918041	94846.90792847257
89	10445.002868816142	84424.71984491742	94869.72271373356
90	10420.12977537581	84472.34573439542	94892.47550977123
91	10395.515819975395	84519.65114207502	94915.16696205041
92	10371.158449061591	84566.63926061381	94937.7977096754
93	10347.055134272841	84613.31325117993	94960.36838545278
94	10323.203372190465	84659.67624376302	94982.87961595348
95	10299.600684093011	84705.73133748134	95005.33202157434
96	10276.244615712245	84751.48160088676	95027.72621659901
97	10253.132736992253	84796.93007226597	95050.06280925822
98	10230.26264185019	84842.07975993937	95072.34240178956
99	10207.631947940175	84886.9336425564	95094.56559049657
100	10185.238296418913	84931.49466938834	95116.73296580726
101	10163.07935171387	84975.76576061823	95138.8451123321
102	10141.15280129363	85019.74980762781	95160.90260892145
103	10119.456355440905	85063.44967328136	95182.90602872227
104	10097.987747027038	85106.86819220748	95204.85593923452
105	10076.744731289507	85150.00817107728	95226.75290236679
106	10055.72508561105	85192.87238888042	95248.59747449147
107	10034.926609301287	85235.4635971981	95270.39020649939
108	10014.347123380523	85277.78452047336	95292.13164385388
109	9993.984470365354	85319.83785627897	95313.82232664432
110	9973.836514056838	85361.62627558231	95335.46278963915
111	9953.901139330354	85403.152423008	95357.05356233835
112	9934.176251927667	85444.41891709779	95378.59516902546
113	9914.659778251273	85485.42835056774	95400.08812881901
114	9895.349665160426	85526.18329056306	95421.53295572348
115	9876.243879769447	85566.68627891027	95442.93015867972
116	9857.3404092477	85606.93983236728	95464.28024161498
117	9838.637260621912	85646.9464428704	95485.5837034923
118	9820.132460580304	85686.70857777921	95506.84103835952
119	9801.824055278645	85726.2286801191	95528.05273539774
120	9783.710110147951	85765.50916882145	95549.2192789694
121	9765.78870970461	85804.55243896111	95570.34114866571
122	9748.057957361965	85843.3608619919	95591.41881935386
123	9730.51597524404	85881.93678597941	95612.45276122345
124	9713.160904000786	85920.28253583201	95633.4434398328
125	9695.990902625446	85958.40041352909	95654.39131615454
126	9679.004148273367	85996.29269834753	95675.2968466209
127	9662.19883608316	86033.9616470853	95696.16048316847
128	9645.573178999064	86071.4094942835	95716.98267328257
129	9629.125407595415	86108.63845244574	95737.76386004116
130	9612.85376990265	86145.65071225566	95758.50448215831
131	9596.756531235194	86182.44844279208	95779.20497402728
132	9580.831974020763	86219.03379174233	95799.8657657631
133	9565.078397631694	86255.40888561314	95820.48728324483
134	9549.494118217772	86291.57582993954	95841.06994815731
135	9534.07746854071	86327.53670949183	95861.61417803254
136	9518.826797810238	86363.29358848045	95882.12038629068
137	9503.740471521913	86398.84851075869	95902.5889822806
138	9488.816871296363	86434.20350002365	95923.02037132002
139	9474.05439472025	86469.36056001505	95943.4149547353
140	9459.451455188804	86504.32167471205	95963.77312990084
141	9445.006481749797	86539.08880852825	95984.09529027804
142	9430.71791894921	86573.66390650466	96004.38182545388
143	9416.584226678355	86608.04889450083	96024.63312117918
144	9402.603880022327	86642.24567938414	96044.84955940647
