single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=294784.24900730385
irr=0.055541259106344



t	traditional_part	fund_part	total
0	14092.37821341354	78407.62178658646	92500.0
1	12503.69770950051	80409.7035618523	92913.4012713528
2	10891.72223777857	82440.90742449946	93332.62966227802
3	9256.11459482741	84501.65487950617	93757.76947433357
4	7596.532696978478	86592.37353216115	94188.90622913963
5	5912.629509684836	88713.49717635123	94626.12668603606
6	4204.052975868789	90865.46588412682	95069.51885999562
7	2470.445943232088	93048.7260965642	95519.17203979629
8	711.4460905149488	95263.73071594171	95975.17680645666
9	0.0	96437.62505193807	96437.62505193807
10	0.0	96904.03266947065	96904.03266947065
11	0.0	97372.71054966563	97372.71054966563
12	0.0	97843.66974314132	97843.66974314132
13	0.0	98316.92135430546	98316.92135430546
14	0.0	98792.47654161708	98792.47654161708
15	0.0	99270.34651784955	99270.34651784955
16	0.0	99750.54255035499	99750.54255035499
17	0.0	100233.07596132993	100233.07596132993
18	0.0	100717.95812808226	100717.95812808226
19	0.0	101205.20048329949	101205.20048329949
20	0.0	101694.8145153183	101694.8145153183
21	0.0	102186.81176839548	102186.81176839548
22	0.0	102681.20384298002	102681.20384298002
23	0.0	103178.0023959867	103178.0023959867
24	0.0	103677.21914107092	103677.21914107092
25	0.0	104178.86584890491	104178.86584890491
26	0.0	104682.95434745522	104682.95434745522
27	0.0	105189.49652226163	105189.49652226163
28	0.0	105698.5043167174	105698.5043167174
29	0.0	106209.98973235083	106209.98973235083
30	0.0	106723.9648291083	106723.9648291083
31	0.0	107240.44172563855	107240.44172563855
32	0.0	107759.4325995785	107759.4325995785
33	0.0	108280.9496878403	108280.9496878403
34	0.0	108805.0052868999	108805.0052868999
35	0.0	109331.61175308698	109331.61175308698
36	0.0	109860.78150287627	109860.78150287627
37	0.0	110392.5270131803	110392.5270131803
38	0.0	110926.86082164363	110926.86082164363
39	0.0	111463.79552693843	111463.79552693843
40	0.0	112003.34378906153	112003.34378906153
41	0.0	112545.51832963296	112545.51832963296
42	0.0	113090.33193219587	113090.33193219587
43	0.0	113637.79744251794	113637.79744251794
44	0.0	114187.92776889428	114187.92776889428
45	0.0	114740.73588245179	114740.73588245179
46	0.0	115296.23481745497	115296.23481745497
47	0.0	115854.43767161328	115854.43767161328
48	0.0	116415.35760638992	116415.35760638992
49	0.0	116979.0078473122	116979.0078473122
50	0.0	117545.40168428334	117545.40168428334
51	0.0	118114.55247189582	118114.55247189582
52	0.0	118686.47362974631	118686.47362974631
53	0.0	119261.17864275203	119261.17864275203
54	0.0	119838.68106146871	119838.68106146871
55	0.0	120418.9945024101	120418.9945024101
56	0.0	121002.13264836904	121002.13264836904
57	0.0	121588.10924874	121588.10924874
58	0.0	122176.93811984338	122176.93811984338
59	0.0	122768.6331452512	122768.6331452512
60	0.0	123363.20827611444	123363.20827611444
61	0.0	123960.67753149205	123960.67753149205
62	0.0	124561.05499868146	124561.05499868146
63	0.0	125164.3548335507	125164.3548335507
64	0.0	125770.59126087221	125770.59126087221
65	0.0	126379.77857465828	126379.77857465828
66	0.0	126991.93113849797	126991.93113849797
67	0.0	127607.06338589585	127607.06338589585
68	0.0	128225.18982061232	128225.18982061232
69	0.0	128846.32501700554	128846.32501700554
70	0.0	129470.48362037512	129470.48362037512
71	0.0	130097.6803473074	130097.6803473074
72	0.0	130727.92998602243	130727.92998602243
73	0.0	131361.2473967227	131361.2473967227
74	0.0	131997.64751194348	131997.64751194348
75	0.0	132637.14533690488	132637.14533690488
76	0.0	133279.7559498657	133279.7559498657
77	0.0	133925.49450247895	133925.49450247895
78	0.0	134574.37622014902	134574.37622014902
79	0.0	135226.41640239078	135226.41640239078
80	0.0	135881.63042319025	135881.63042319025
81	0.0	136540.0337313671	136540.0337313671
82	0.0	137201.64185093885	137201.64185093885
83	0.0	137866.47038148707	137866.47038148707
84	0.0	138534.53499852502	138534.53499852502
85	0.0	139205.85145386733	139205.85145386733
86	0.0	139880.43557600136	139880.43557600136
87	0.0	140558.30327046046	140558.30327046046
88	0.0	141239.47052019893	141239.47052019893
89	0.0	141923.95338596895	141923.95338596895
90	0.0	142611.76800669925	142611.76800669925
91	0.0	143302.93059987552	143302.93059987552
92	0.0	143997.45746192295	143997.45746192295
93	0.0	144695.36496859038	144695.36496859038
94	0.0	145396.66957533645	145396.66957533645
95	0.0	146101.38781771756	146101.38781771756
96	0.0	146809.5363117778	146809.5363117778
97	0.0	147521.13175444063	147521.13175444063
98	0.0	148236.1909239027	148236.1909239027
99	0.0	148954.73068002934	148954.73068002934
100	0.0	149676.76796475213	149676.76796475213
101	0.0	150402.31980246838	150402.31980246838
102	0.0	151131.40330044247	151131.40330044247
103	0.0	151864.0356492093	151864.0356492093
104	0.0	152600.2341229796	152600.2341229796
105	0.0	153340.0160800471	153340.0160800471
106	0.0	154083.39896319792	154083.39896319792
107	0.0	154830.4003001219	154830.4003001219
108	0.0	155581.03770382574	155581.03770382574
109	0.0	156335.32887304836	156335.32887304836
110	0.0	157093.29159267814	157093.29159267814
111	0.0	157854.94373417238	157854.94373417238
112	0.0	158620.30325597854	158620.30325597854
113	0.0	159389.38820395776	159389.38820395776
114	0.0	160162.2167118103	160162.2167118103
115	0.0	160938.80700150316	160938.80700150316
116	0.0	161719.17738369966	161719.17738369966
117	0.0	162503.3462581912	162503.3462581912
118	0.0	163291.33211433107	163291.33211433107
119	0.0	164083.1535314705	164083.1535314705
120	0.0	164878.8291793966	164878.8291793966
121	0.0	165678.37781877257	165678.37781877257
122	0.0	166481.81830158015	166481.81830158015
123	0.0	167289.16957156404	167289.16957156404
124	0.0	168100.45066467856	168100.45066467856
125	0.0	168915.68070953654	168915.68070953654
126	0.0	169734.87892786023	169734.87892786023
127	0.0	170558.06463493468	170558.06463493468
128	0.0	171385.25724006296	171385.25724006296
129	0.0	172216.476247024	172216.476247024
130	0.0	173051.74125453227	173051.74125453227
131	0.0	173891.07195670006	173891.07195670006
132	0.0	174734.4881435017	174734.4881435017
133	0.0	175582.0097012402	175582.0097012402
134	0.0	176433.65661301624	176433.65661301624
135	0.0	177289.44895919916	177289.44895919916
136	0.0	178149.40691790055	178149.40691790055
137	0.0	179013.55076545	179013.55076545
138	0.0	179881.90087687311	179881.90087687311
139	0.0	180754.47772637202	180754.47772637202
140	0.0	181631.301887808	181631.301887808
141	0.0	182512.39403518668	182512.39403518668
142	0.0	183397.77494314546	183397.77494314546
143	0.0	184287.46548744332	184287.46548744332
144	0.0	185181.48664545306	185181.48664545306
145	0.0	186079.8594966559	186079.8594966559
146	0.0	186982.6052231385	186982.6052231385
147	0.0	187889.7451100924	187889.7451100924
148	0.0	188801.30054631588	188801.30054631588
149	0.0	189717.2930247183	189717.2930247183
150	0.0	190637.74414282682	190637.74414282682
151	0.0	191562.67560329565	191562.67560329565
152	0.0	192492.10921441778	192492.10921441778
153	0.0	193426.0668906392	193426.0668906392
154	0.0	194364.5706530755	194364.5706530755
155	0.0	195307.64263003122	195307.64263003122
