single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=388778.7158836914
irr=0.07024972286649689



t	traditional_part	fund_part	total
0	14092.37821341354	78407.62178658646	92500.0
1	2695.8747740346116	92669.48223118467	95365.35700521928
2	0.0	97897.73066501139	97897.73066501139
3	0.0	100632.02751815549	100632.02751815549
4	0.0	104285.16724453951	104285.16724453951
5	0.0	106510.97664561534	106510.97664561534
6	0.0	109890.20102568486	109890.20102568486
7	0.0	109848.0937043388	109848.0937043388
8	0.0	114243.70188548132	114243.70188548132
9	0.0	113673.77668140207	113673.77668140207
10	0.0	118342.82993581194	118342.82993581194
11	0.0	120392.34933684049	120392.34933684049
12	0.0	124318.36648455366	124318.36648455366
13	0.0	125175.42325717407	125175.42325717407
14	0.0	126169.2845143638	126169.2845143638
15	0.0	127866.77714337345	127866.77714337345
16	0.0	130776.05195277165	130776.05195277165
17	0.0	131066.22053042294	131066.22053042294
18	0.0	125082.55951929085	125082.55951929085
19	0.0	127424.85011146824	127424.85011146824
20	0.0	134320.76477472833	134320.76477472833
21	0.0	137835.54258277858	137835.54258277858
22	0.0	147936.17556118363	147936.17556118363
23	0.0	144747.75243348684	144747.75243348684
24	0.0	153636.36483055993	153636.36483055993
25	0.0	154532.2728941923	154532.2728941923
26	0.0	147943.86140514107	147943.86140514107
27	0.0	156577.914721944	156577.914721944
28	0.0	165758.93574568507	165758.93574568507
29	0.0	172946.69668162812	172946.69668162812
30	0.0	186465.22514383288	186465.22514383288
31	0.0	175754.5845814488	175754.5845814488
32	0.0	185091.28723570434	185091.28723570434
33	0.0	178699.08407819978	178699.08407819978
34	0.0	186667.78295592582	186667.78295592582
35	0.0	189595.50268311464	189595.50268311464
36	0.0	191526.74462117293	191526.74462117293
37	0.0	205004.65664974417	205004.65664974417
38	0.0	215258.72021874925	215258.72021874925
39	0.0	217209.41323439236	217209.41323439236
40	0.0	213103.69166489143	213103.69166489143
41	0.0	221501.36157166038	221501.36157166038
42	0.0	218939.11282216225	218939.11282216225
43	0.0	187014.4037902774	187014.4037902774
44	0.0	198674.15620554317	198674.15620554317
45	0.0	214631.50145105747	214631.50145105747
46	0.0	227306.73606297685	227306.73606297685
47	0.0	240118.5464241868	240118.5464241868
48	0.0	249960.9464188179	249960.9464188179
49	0.0	241890.27175210835	241890.27175210835
50	0.0	251283.14750776274	251283.14750776274
51	0.0	260812.64747411702	260812.64747411702
52	0.0	254285.41717580825	254285.41717580825
53	0.0	268131.56942120125	268131.56942120125
54	0.0	259533.97539055586	259533.97539055586
55	0.0	257909.73529093654	257909.73529093654
