single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=287911.20511928503
irr=0.05429689714882047



t	traditional_part	fund_part	total
0	14092.37821341354	78407.62178658646	92500.0
1	11361.925471092067	81836.91885986285	93198.84433095492
2	3436.5343772147626	91759.89225020421	95196.42662741897
3	13306.210118538931	79439.03547486676	92745.24559340569
4	0.0	100075.37738037214	100075.37738037214
5	0.0	99185.766386365	99185.766386365
6	0.0	98656.35403948667	98656.35403948667
7	27058.014387891028	62314.26554074053	89372.27992863156
8	39616.867504830705	46631.95394804701	86248.82145287772
9	40582.78095278916	45440.820324123335	86023.6012769125
10	29377.62383435325	59463.52829143979	88841.15212579304
11	23259.149765730184	67127.88583044145	90387.03559617163
12	11966.253817004208	81260.27410422714	93226.52792123135
13	0.0	98734.970157433	98734.970157433
14	0.0	100910.53328767246	100910.53328767246
15	0.0	100961.31614772159	100961.31614772159
16	0.0	104831.09235577329	104831.09235577329
17	0.0	99825.88299552604	99825.88299552604
18	0.0	104287.07191422478	104287.07191422478
19	0.0	106327.85449756809	106327.85449756809
20	0.0	104308.00610671639	104308.00610671639
21	0.0	105541.95877193296	105541.95877193296
22	0.0	100887.03829862377	100887.03829862377
23	0.0	112150.4672143043	112150.4672143043
24	0.0	109915.74346250504	109915.74346250504
25	0.0	110961.34511647	110961.34511647
26	0.0	108538.53620020798	108538.53620020798
27	0.0	111546.75400461355	111546.75400461355
28	0.0	111678.17271452272	111678.17271452272
29	0.0	109712.59754673403	109712.59754673403
30	0.0	114037.87445068965	114037.87445068965
31	0.0	111292.79648279039	111292.79648279039
32	0.0	112311.3171719407	112311.3171719407
33	0.0	112550.24418621547	112550.24418621547
34	0.0	115961.10854305755	115961.10854305755
35	0.0	117113.94905978437	117113.94905978437
36	0.0	117944.20588605407	117944.20588605407
37	0.0	119177.62363796025	119177.62363796025
38	0.0	121405.50098425367	121405.50098425367
39	0.0	118311.58528741785	118311.58528741785
40	0.0	120996.25590106877	120996.25590106877
41	0.0	121073.87689830051	121073.87689830051
42	0.0	120425.8588326689	120425.8588326689
43	0.0	124588.44126083002	124588.44126083002
44	0.0	123322.35001509634	123322.35001509634
45	0.0	125711.08143023918	125711.08143023918
46	0.0	124095.7044552721	124095.7044552721
47	0.0	125328.81709864724	125328.81709864724
48	0.0	129410.2822408525	129410.2822408525
49	0.0	125510.9935584132	125510.9935584132
50	0.0	119784.62034068955	119784.62034068955
51	0.0	121151.9619353167	121151.9619353167
52	0.0	122653.61404871906	122653.61404871906
53	0.0	119372.67875686137	119372.67875686137
54	0.0	123131.13323449634	123131.13323449634
55	0.0	127749.23751223994	127749.23751223994
56	0.0	124307.3441731138	124307.3441731138
57	0.0	126910.30437696664	126910.30437696664
58	0.0	121883.54026909557	121883.54026909557
59	0.0	123384.93628871901	123384.93628871901
60	0.0	126363.79867942071	126363.79867942071
61	0.0	130927.51022297917	130927.51022297917
62	0.0	134497.20676757843	134497.20676757843
63	0.0	138254.8562651024	138254.8562651024
64	0.0	143274.90273635922	143274.90273635922
65	0.0	146334.01355299947	146334.01355299947
66	0.0	150977.80939041058	150977.80939041058
67	0.0	150921.0827282199	150921.0827282199
68	0.0	156961.36477982486	156961.36477982486
69	0.0	156179.45936769358	156179.45936769358
70	0.0	162595.521768931	162595.521768931
71	0.0	165412.55565310747	165412.55565310747
72	0.0	170807.81479734668	170807.81479734668
73	0.0	171986.49668437315	171986.49668437315
74	0.0	173353.15070422343	173353.15070422343
75	0.0	175686.5838957662	175686.5838957662
76	0.0	179684.99831997431	179684.99831997431
77	0.0	180084.81180504372	180084.81180504372
78	0.0	171864.39433758668	171864.39433758668
79	0.0	175083.84433260714	175083.84433260714
80	0.0	184560.06955852933	184560.06955852933
81	0.0	189390.58647413875	189390.58647413875
82	0.0	203270.31454912949	203270.31454912949
83	0.0	198890.4165437835	198890.4165437835
84	0.0	211104.92503189362	211104.92503189362
85	0.0	212337.07756099623	212337.07756099623
86	0.0	203285.3101013184	203285.3101013184
87	0.0	215150.23388438465	215150.23388438465
88	0.0	227766.79589689046	227766.79589689046
89	0.0	237644.51231110186	237644.51231110186
90	0.0	256221.3266553066	256221.3266553066
91	0.0	241504.99149045823	241504.99149045823
92	0.0	254335.7124536165	254335.7124536165
93	0.0	245553.2499029068	245553.2499029068
94	0.0	256504.29072192748	256504.29072192748
95	0.0	260528.4596834393	260528.4596834393
96	0.0	263183.3581592228	263183.3581592228
97	0.0	281704.93672875717	281704.93672875717
98	0.0	295796.5727162552	295796.5727162552
99	0.0	298478.23187182326	298478.23187182326
100	0.0	292837.48136920994	292837.48136920994
101	0.0	304378.305824001	304378.305824001
102	0.0	300858.49139073305	300858.49139073305
103	0.0	256989.79516110627	256989.79516110627
104	0.0	273013.41563099035	273013.41563099035
105	0.0	294942.75450873375	294942.75450873375
106	0.0	312361.959579632	312361.959579632
107	0.0	329968.90803389717	329968.90803389717
108	0.0	343495.3775336502	343495.3775336502
109	0.0	332405.8125997289	332405.8125997289
110	0.0	345314.6356454789	345314.6356454789
111	0.0	358411.2504865081	358411.2504865081
112	0.0	349442.59318341507	349442.59318341507
113	0.0	368471.2955587263	368471.2955587263
114	0.0	356657.4503765838	356657.4503765838
115	0.0	354426.50838590495	354426.50838590495
116	0.0	344303.9316232807	344303.9316232807
117	0.0	365828.3082276126	365828.3082276126
118	0.0	372804.1957583556	372804.1957583556
119	0.0	394355.06313316873	394355.06313316873
120	0.0	374301.4680874818	374301.4680874818
121	0.0	366756.06452024064	366756.06452024064
122	0.0	402236.92091606243	402236.92091606243
123	0.0	389833.442387876	389833.442387876
124	0.0	381295.1116838398	381295.1116838398
125	0.0	390417.8495239762	390417.8495239762
126	0.0	384026.86977889045	384026.86977889045
127	0.0	407347.83147490013	407347.83147490013
128	0.0	385550.8963230424	385550.8963230424
129	0.0	383642.2770161446	383642.2770161446
130	0.0	352935.00436473923	352935.00436473923
131	0.0	354354.4725603516	354354.4725603516
132	0.0	366616.8587725667	366616.8587725667
133	0.0	332770.2305060232	332770.2305060232
134	0.0	311403.79825800087	311403.79825800087
135	0.0	335340.4778946185	335340.4778946185
136	0.0	337028.262886142	337028.262886142
137	0.0	328598.20686863636	328598.20686863636
138	0.0	325052.65087860153	325052.65087860153
139	0.0	304223.9453068676	304223.9453068676
140	0.0	279343.0625043584	279343.0625043584
141	0.0	284412.18877231545	284412.18877231545
142	0.0	305797.79366334167	305797.79366334167
143	0.0	308102.69419893454	308102.69419893454
144	0.0	303296.06508933427	303296.06508933427
145	0.0	296986.68933425675	296986.68933425675
146	0.0	307905.66471939074	307905.66471939074
147	0.0	288983.9285840381	288983.9285840381
148	0.0	286351.111083248	286351.111083248
149	0.0	265605.0233436215	265605.0233436215
150	0.0	244617.66265522933	244617.66265522933
151	0.0	245822.1800155274	245822.1800155274
152	0.0	218770.95106807954	218770.95106807954
153	0.0	237685.33864656452	237685.33864656452
154	0.0	251232.91786742312	251232.91786742312
155	0.0	236069.5346374834	236069.5346374834
156	0.0	229599.97150092825	229599.97150092825
157	0.0	225679.51698997163	225679.51698997163
158	0.0	227581.54419127674	227581.54419127674
159	0.0	246011.514888154	246011.514888154
160	0.0	258538.48651127046	258538.48651127046
161	0.0	261460.00132017804	261460.00132017804
162	0.0	265696.16074955335	265696.16074955335
163	0.0	270442.0396707926	270442.0396707926
164	0.0	267219.4841549079	267219.4841549079
165	0.0	281892.08504843176	281892.08504843176
166	0.0	283901.25097812247	283901.25097812247
167	0.0	298305.25289103825	298305.25289103825
168	0.0	303453.30303978565	303453.30303978565
169	0.0	307152.5816096062	307152.5816096062
170	0.0	302132.7577209824	302132.7577209824
171	0.0	297059.32847095653	297059.32847095653
172	0.0	300651.1869121131	300651.1869121131
173	0.0	306040.42439318245	306040.42439318245
174	0.0	295548.12811687886	295548.12811687886
175	0.0	296215.784441355	296215.784441355
176	0.0	299002.7102904325	299002.7102904325
177	0.0	303184.56037298904	303184.56037298904
178	0.0	314877.5774335367	314877.5774335367
179	0.0	325095.0808746954	325095.0808746954
180	0.0	316883.55012107175	316883.55012107175
181	0.0	322862.5144747414	322862.5144747414
182	0.0	316689.81783644186	316689.81783644186
183	0.0	310302.58407762164	310302.58407762164
184	0.0	319607.58117480524	319607.58117480524
185	0.0	319550.9257258502	319550.9257258502
186	0.0	331055.29227742855	331055.29227742855
187	0.0	327323.8223213068	327323.8223213068
188	0.0	329600.7890068765	329600.7890068765
189	0.0	323750.3719143869	323750.3719143869
190	0.0	335147.0256261548	335147.0256261548
191	0.0	334822.1483862865	334822.1483862865
192	0.0	343348.6166905773	343348.6166905773
193	0.0	343506.5412519429	343506.5412519429
194	0.0	347285.4048437272	347285.4048437272
195	0.0	351520.202121332	351520.202121332
196	0.0	340654.56067355414	340654.56067355414
197	0.0	340678.3743709249	340678.3743709249
198	0.0	342418.72177999746	342418.72177999746
199	0.0	349684.09962092346	349684.09962092346
200	0.0	358263.6135763024	358263.6135763024
201	0.0	369551.89085791167	369551.89085791167
202	0.0	375637.00880449795	375637.00880449795
203	0.0	380381.091941872	380381.091941872
204	0.0	385715.1667591302	385715.1667591302
205	0.0	377290.89913888933	377290.89913888933
206	0.0	381069.38296755165	381069.38296755165
207	0.0	397559.9833189705	397559.9833189705
208	0.0	410483.5755657402	410483.5755657402
209	0.0	403159.124413989	403159.124413989
210	0.0	390283.3449466266	390283.3449466266
211	0.0	395295.3161725099	395295.3161725099
212	0.0	409452.1411836032	409452.1411836032
213	0.0	415509.92667847394	415509.92667847394
214	0.0	397190.5852059934	397190.5852059934
215	0.0	393781.7845186936	393781.7845186936
216	0.0	369670.23554811784	369670.23554811784
217	0.0	356821.9585961228	356821.9585961228
218	0.0	354700.4382125734	354700.4382125734
219	0.0	371564.9423541322	371564.9423541322
220	0.0	375530.72897313547	375530.72897313547
221	0.0	343241.303419463	343241.303419463
222	0.0	339859.51444011834	339859.51444011834
223	0.0	343986.0924209389	343986.0924209389
224	0.0	312770.12823005725	312770.12823005725
225	0.0	259780.68617950458	259780.68617950458
226	0.0	240310.2160546889	240310.2160546889
227	0.0	242184.21335810024	242184.21335810024
228	0.0	221453.96983893382	221453.96983893382
229	0.0	197104.16440041835	197104.16440041835
230	0.0	213939.87496204386	213939.87496204386
231	0.0	234019.70570902503	234019.70570902503
232	0.0	246430.89679402727	246430.89679402727
233	0.0	246481.5137440839	246481.5137440839
234	0.0	264764.2010741068	264764.2010741068
235	0.0	273635.8214891658	273635.8214891658
236	0.0	283418.9277713961	283418.9277713961
237	0.0	277812.4243454558	277812.4243454558
238	0.0	293734.97000007425	293734.97000007425
239	0.0	298959.9947715572	298959.9947715572
240	0.0	287911.20511928503	287911.20511928503
