single_premium=100000.0
type=static_hybrid
benefit_at_maturity=240903.2972659857
irr=0.04494188407088773



t	traditional_part	fund_part	total
0	76818.47564268271	15681.524357317292	92500.0
1	77004.92332830539	15821.226133817985	92826.14946212337
2	77191.83084421924	15777.569327206398	92969.40017142563
3	77379.19932448979	15698.987076310665	93078.18640080045
4	77567.02990597952	16554.6604610989	94121.69036707842
5	77755.32372835469	16746.750410981367	94502.07413933607
6	77944.0819340923	16668.168160313882	94612.25009440619
7	78133.305668487	16467.346853361963	94600.65252184896
8	78322.99607965803	15899.80838941794	94222.80446907597
9	78513.15431855623	16572.12318536814	95085.27750392437
10	78703.78153897099	17654.81194412174	96358.59348309273
11	78894.87889753723	18449.365802307093	97344.24469984432
12	79086.44755374247	18493.022610402553	97579.47016414502
13	79278.48866993384	19811.458117170198	99089.94678710404
14	79471.0034113251	20859.22143276512	100330.22484409022
15	79663.99294600378	20562.355162693035	100226.34810869681
16	79857.45844493821	21592.655758764693	101450.1142037029
17	80051.40108198464	21898.25339841278	101949.65448039742
18	80245.82203389438	20614.743334993516	100860.5653688879
19	80440.72248032091	22081.611990013884	102522.3344703348
20	80636.10360382708	20195.638004910954	100831.74160873804
21	80831.96658989224	21304.520850041583	102136.48743993382
22	81028.31262691943	21758.551613524225	102786.86424044365
23	81225.14290624266	21147.35633565811	102372.49924190078
24	81422.45862213406	23932.660491046252	105355.1191131803
25	81620.26097181116	24814.52795784382	106434.78892965498
26	81818.55115544416	25469.38002550457	107287.93118094874
27	82017.3303761632	25181.2451075617	107198.5754837249
28	82216.59984006565	25329.678248341523	107546.27808840718
29	82416.36075622348	26543.33742072782	108959.69817695131
30	82616.61433669052	27826.847482604855	110443.46181929536
31	82817.36179650985	28796.02855878857	111613.39035529843
32	83018.60435372121	28097.519665738437	111116.12401945965
33	83220.34322936831	21985.566970555876	105205.9101999242
34	83422.57964750633	20108.324366036828	103530.90401354316
35	83625.31483520925	21575.193007420876	105200.50784263013
36	83828.55002257739	22448.32911577427	106276.87913835165
37	84032.2864427448	23382.584731986033	107414.87117473083
38	84236.52533188678	22605.4935929713	106842.01892485807
39	84441.26792922738	22815.04624731222	107256.3141765396
40	84646.51547704691	22893.628498957623	107540.14397600453
41	84852.26922068947	23880.272298886382	108732.54151957585
42	85058.53040857051	23749.30187679376	108807.83228536427
43	85265.30029218443	22832.508977652702	108097.80926983713
44	85472.58012611212	23740.570508903922	109213.15063501605
45	85680.37116802864	24360.49712968107	110040.8682977097
46	85888.67467871078	23897.734992238842	109786.40967094962
47	86097.49192204479	24246.989420090053	110344.48134213485
48	86306.82416503398	25975.798892850857	112282.62305788483
49	86516.67267780642	25224.90184988044	111741.57452768685
50	86727.03873362267	25748.783508656354	112475.82224227903
51	86937.9236088835	27032.293574218453	113970.21718310195
52	87149.32858313763	27984.011910979174	115133.3404941168
53	87361.25493908947	27765.72788706182	115126.98282615129
54	87573.70396260695	30219.240323341906	117792.94428594885
55	87786.67694272927	30682.002448498723	118468.679391228
56	88000.1751716748	30481.18113333669	118481.35630501149
57	88214.1999448488	29721.55272956587	117935.75267441467
58	88428.75256085143	30210.508948363295	118639.26150921472
59	88643.83432148545	30856.62965281597	119500.46397430143
60	88859.44653176432	28734.908944487626	117594.35547625195
61	89075.59049991993	28979.387044002593	118054.97754392252
62	89292.26753741066	29677.895930608214	118970.16346801887
63	89509.47895892932	28883.34208757433	118392.82104650365
64	89727.22608241107	31537.675820808647	121264.90190321972
65	89945.51022904147	31258.27226022416	121203.78248926562
66	90164.33272326447	31092.376388413548	121256.709111678
67	90383.69489279047	28167.37046957121	118551.06536236168
68	90603.59806860436	26726.695915712615	117330.29398431697
69	90824.0435849736	26543.337338202782	117367.38092317637
70	91045.03277945629	28132.445032711326	119177.47781216762
71	91266.56699290934	28830.953922029585	120097.52091493893
72	91488.64756949656	30027.150373240318	121515.79794273688
73	91711.27585669684	32052.826107357312	123764.10196405415
74	91934.4532053123	32760.06633054137	124694.51953585367
75	92158.18096947651	32777.529051138794	124935.71002061531
76	92382.46050666271	34034.84504132387	126417.30554798659
77	92607.29317769202	32410.811896222618	125018.10507391463
78	92832.6803467417	33860.21782956205	126692.89817630374
79	93058.6233813535	34523.80127018721	127582.4246515407
80	93285.1236524418	33868.949181504926	127154.07283394673
81	93512.18253430212	34270.59176975632	127782.77430405843
82	93739.8014046193	32760.066327746306	126499.8677323656
83	93967.98164447595	36418.50657105606	130386.48821553201
84	94196.72463836079	35693.80360115411	129890.5282395149
85	94426.03177417707	36034.32666368414	130460.35843786121
86	94655.904443251	35248.504193258574	129904.40863650957
87	94886.34404034013	36226.41662803271	131112.76066837285
88	95117.35196364191	36270.073444975314	131387.42540861721
89	95348.9296148021	35632.684102085695	130981.61371688779
90	95581.07839892327	37038.43322035575	132619.51161927902
91	95813.79972457342	36147.834389502794	131961.6341140762
92	96047.09500379437	36479.62610751844	132526.7211113128
93	96280.96565211049	36558.20836578132	132839.1740178918
94	96515.41308853719	37667.09121076803	134182.5042993052
95	96750.43873558953	38042.53975043174	134792.97848602128
96	96986.04401929092	38313.21192620304	135299.25594549396
97	97222.23036918169	38714.854537422245	135937.08490660394
98	97458.99921832784	39439.55751235971	136898.55673068756
99	97696.35200332965	38435.450988378914	136131.80299170857
100	97934.2901643305	39308.58709140302	137242.8772557335
101	98172.81514502548	39334.78119389171	137507.59633891718
102	98411.92839267029	39125.22852987243	137537.15692254272
103	98651.63135808993	40478.589473458385	139130.22083154833
104	98891.92549568752	40068.21550944699	138960.1410051345
105	99132.81226345313	40845.306654953165	139978.1189184063
106	99374.29312297262	40321.424996868576	139695.71811984119
107	99616.36953943653	40723.06759833373	140339.43713777026
108	99859.04298164896	42050.23444823987	141909.27742988884
109	100102.31492203646	40784.18712482859	140886.50204686506
110	100346.18683665698	38924.40722886423	139270.5940655212
111	100590.66020520886	39369.70665139841	139960.36685660726
112	100835.73651103972	39858.66285697465	140694.39936801436
113	101081.41724115556	38793.43682371165	139874.85406486722
114	101327.70388622972	40015.82736724508	141343.5312534748
115	101574.59794061194	41517.62144836944	143092.21938898138
116	101822.10090233746	40400.00722651928	142222.10812885675
117	102070.21427313604	41246.94922081536	143317.1634939514
118	102318.93955844111	39614.184734955306	141933.12429339642
119	102568.27826739894	40103.14095334311	142671.41922074204
120	102818.23191287775	41072.32202252529	143890.55393540303
121	103068.80201147687	42556.65339707617	145625.45540855304
122	103319.99008353602	43717.92441759024	147037.91450112627
123	103571.79765314444	44940.31496313144	148512.11261627587
124	103824.22624815023	46573.079475682796	150397.30572383304
125	104077.27740016954	47568.45460620716	151645.7320063767
126	104330.95264459592	49078.98003661962	153409.93268121555
127	104585.25352060962	49061.517293811776	153646.7708144214
128	104840.1815711869	51026.0735010909	155866.2550722778
129	105095.73834310943	50772.864010122394	155868.60235323184
130	105351.92538697367	52859.65928620256	158211.58467317623
131	105608.74425720025	53776.45219519482	159385.19645239506
132	105866.19651204342	55531.45574702897	161397.6522590724
133	106124.28371360051	55915.63562990484	162039.91934350535
134	106383.00742782143	56360.93505921211	162743.94248703355
135	106642.3692245181	57120.56345850911	163762.9326830272
136	106902.37067737406	58421.5362709894	165323.90694836347
137	107163.01336395396	58552.50666416783	165715.52002812177
138	107424.29886571314	55880.710231231664	163305.0090969448
139	107686.22876800725	56928.47354806726	164614.70231607452
140	107948.80466010184	60010.64395499442	167959.44861509628
141	108212.02813518204	61582.288934183176	169794.31706936524
142	108475.9007903622	66096.40256073941	174572.3033511016
143	108740.42422669557	64673.19069561464	173413.61492231023
144	109005.60004918404	68645.95996480413	177651.56001398817
145	109271.42986678785	69047.60260269504	178319.0324694829
146	109537.91529243538	66105.1339773062	175643.04926974158
147	109805.05794303297	69964.39552660516	179769.45346963813
148	110072.8594394746	74068.13517739798	184140.99461687257
149	110341.3214066519	77281.27598728433	187622.59739393624
150	110610.44547346386	83323.37777180484	193933.8232452687
151	110880.2332728268	78538.59196285716	189418.82523568394
152	111150.68644168423	82712.18253323069	193862.86897491492
153	111421.80662101685	79857.0274704169	191278.83409143373
154	111693.59545585241	83419.422713768	195113.01816962042
155	111966.05459527578	84729.12683684137	196695.18143211716
156	112239.1856924389	85593.53160951917	197832.71730195807
157	112512.99040457082	91618.17065100225	204131.1610555731
158	112787.4703929878	96202.13519925259	208989.6055922404
159	113062.62732310331	97075.2712618427	210137.898584946
160	113338.4628644382	95241.68548349563	208580.14834793383
161	113614.97869063081	98996.1707274415	212611.1494180723
162	113892.17647944712	97852.36243710938	211744.5389165565
163	114170.05791279094	83585.31861133946	197755.3765241304
164	114448.6246767141	88797.9411430253	203246.5658197394
165	114727.87846142669	95931.46309575642	210659.34155718313
166	115007.82096130733	101598.11639384477	216605.9373551521
167	115288.4538749134	107325.88922142885	222614.34309634223
168	115569.7789049914	111726.4951678831	227296.2740728745
169	115851.79775848729	108120.4430988016	223972.24085728888
170	116134.51214655676	112320.22774746358	228454.73989402034
171	116417.92378457573	116581.13186649716	232999.05565107288
172	116702.03439215067	113664.8573010605	230366.89169321116
173	116986.84569312906	119855.39222115588	236842.23791428492
174	117272.35941560986	116013.59338351418	233285.95279912403
175	117558.57729195399	115288.89045763023	232847.46774958423
176	117845.50105879485	111997.16736057293	229842.66841936778
177	118133.13245704882	118999.71890759715	237132.851364646
178	118421.47323192588	121269.87273720639	239691.34596913226
179	118710.52513294012	128281.15555142963	246991.68068436976
180	119000.28991392047	121758.82886341622	240759.11877733667
181	119290.76933302122	119305.31638059168	238596.0857136129
182	119581.96515273278	130848.17553402402	250430.14068675681
183	119873.87913989232	126814.28670217327	246688.1658420656
184	120166.51306569451	124037.71389175796	244204.22695745248
185	120459.86870570225	127006.37659503434	247466.24530073657
186	120753.94783985747	124928.31273991332	245682.26057977078
187	121048.75225249193	132515.8654210351	253564.61767352704
188	121344.28373233801	125426.00026412022	246770.28399645822
189	121640.5440725396	124806.07360342078	246446.61767596038
190	121937.53507066297	114817.39660238943	236754.9316730524
191	122235.25852870765	115280.15870436883	237515.41723307647
192	122533.71625311741	119270.3906092579	241804.1068623753
193	122832.9100547912	108260.14439733891	231093.0544521301
194	123132.8417490941	101309.98105045372	224442.8227995478
195	123433.51315586844	109098.35503137572	232531.86818724417
196	123734.92609944468	109648.43079211595	233383.35689156063
197	124037.08240865266	106906.78340226164	230943.8658109143
198	124339.98391683254	105754.2437139196	230094.22763075214
199	124643.63246184603	98978.70764571955	223622.34010756557
200	124948.0298860875	90884.73610135059	215832.7659874381
201	125253.17803649514	92534.96333678674	217788.1413732819
202	125559.0787645622	99493.85796998796	225052.93673455017
203	125865.73392634823	100244.75503004332	226110.48895639155
204	126173.14538249029	98681.84146024403	224854.98684273433
205	126481.31499821428	96629.9716407663	223111.2866389806
206	126790.24464334628	100183.6355744571	226973.88021780338
207	127099.93619232383	94028.02610555958	221127.9622978834
208	127410.39152420737	93172.3527325339	220582.74425674125
209	127721.61252269159	86423.0106714443	214144.6231941359
210	128033.60107611687	79595.08638955766	207628.68746567453
211	128346.35907748077	79987.99766372901	208334.35674120978
212	128659.88842444947	71186.78582066478	199846.67424511426
213	128974.19101936933	77342.39531981852	206316.58633918787
214	129289.26876927841	81751.7326105473	211041.0013798257
215	129605.12358591802	76818.51366080757	206423.6372467256
216	129921.75738574433	74714.25568850618	204636.0130742505
217	130239.17208994005	73439.47702337908	203678.64911331912
218	130557.369624426	74059.40366364241	204616.77328806842
219	130876.35191987289	80057.8486182305	210934.2005381034
220	131196.12091171293	84135.39419240005	215331.51510411297
221	131516.67854015168	85087.11256938515	216603.79110953683
222	131838.02675017974	86466.66761906346	218304.6943692432
