single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=390987.67757833155
irr=0.07055295238263826



t	traditional_part	fund_part	total
0	0.0	92500.0	92500.0
1	0.0	95839.89228119067	95839.89228119067
2	0.0	98452.13022314828	98452.13022314828
3	0.0	101201.92856194952	101201.92856194952
4	0.0	104875.77384415209	104875.77384415209
5	0.0	107114.2058831938	107114.2058831938
6	0.0	110512.58567016636	110512.58567016636
7	0.0	110470.25689876232	110470.25689876232
8	0.0	114890.77818151616	114890.77818151616
9	0.0	114317.6419551439	114317.6419551439
10	0.0	119013.15845991146	119013.15845991146
11	0.0	121074.30397518078	121074.30397518078
12	0.0	125022.57682708456	125022.57682708456
13	0.0	125884.50549516088	125884.50549516088
14	0.0	126884.01372233227	126884.01372233227
15	0.0	128591.1394172875	128591.1394172875
16	0.0	131516.91223664378	131516.91223664378
17	0.0	131808.7416874741	131808.7416874741
18	0.0	125791.1988582643	125791.1988582643
19	0.0	128146.77643804744	128146.77643804744
20	0.0	135081.7769896352	135081.7769896352
21	0.0	138616.485279144	138616.485279144
22	0.0	148774.36302919095	148774.36302919095
23	0.0	145567.8917429946	145567.8917429946
24	0.0	154506.88396840496	154506.88396840496
25	0.0	155407.88537770603	155407.88537770603
26	0.0	148782.15959875015	148782.15959875015
27	0.0	157465.15331988767	157465.15331988767
28	0.0	166698.21504499821	166698.21504499821
29	0.0	173926.72274257196	173926.72274257196
30	0.0	187521.87283318618	187521.87283318618
31	0.0	176750.55502746085	176750.55502746085
32	0.0	186140.18418266272	186140.18418266272
33	0.0	179711.7739836226	179711.7739836226
34	0.0	187725.64861877845	187725.64861877845
35	0.0	190669.97708018313	190669.97708018313
36	0.0	192612.18078347636	192612.18078347636
37	0.0	206166.4929903962	206166.4929903962
38	0.0	216478.68713064687	216478.68713064687
39	0.0	218440.45263552046	218440.45263552046
40	0.0	214311.47883804064	214311.47883804064
41	0.0	222756.7604507175	222756.7604507175
42	0.0	220180.00673971442	220180.00673971442
43	0.0	188074.3732266631	188074.3732266631
44	0.0	199800.22840565335	199800.22840565335
45	0.0	215848.0358922562	215848.0358922562
46	0.0	228595.13096247564	228595.13096247564
47	0.0	241479.57685629666	241479.57685629666
48	0.0	251377.7821990716	251377.7821990716
49	0.0	243261.37815018411	243261.37815018411
50	0.0	252707.51258141626	252707.51258141626
51	0.0	262291.0462969095	262291.0462969095
52	0.0	255726.83388309498	255726.83388309498
53	0.0	269651.4900801292	269651.4900801292
54	0.0	261005.17709481213	261005.17709481213
55	0.0	259371.74682920842	259371.74682920842
56	0.0	251963.1692460319	251963.1692460319
57	0.0	267713.9985037919	267713.9985037919
58	0.0	272818.1624875915	272818.1624875915
59	0.0	288588.2836563555	288588.2836563555
60	0.0	273912.2944290873	273912.2944290873
61	0.0	268389.7921414536	268389.7921414536
62	0.0	294353.6541403584	294353.6541403584
63	0.0	285276.08446198184	285276.08446198184
64	0.0	279027.0156754748	279027.0156754748
65	0.0	285702.11502865824	285702.11502865824
66	0.0	281024.48219379113	281024.48219379113
67	0.0	298089.5678202157	298089.5678202157
68	0.0	282138.16938299354	282138.16938299354
69	0.0	280740.6746144751	280740.6746144751
70	0.0	258268.98569391356	258268.98569391356
71	0.0	259306.91026388673	259306.91026388673
72	0.0	268279.38241092535	268279.38241092535
73	0.0	243510.6134610964	243510.6134610964
74	0.0	227874.53491060625	227874.53491060625
75	0.0	245389.76293352313	245389.76293352313
76	0.0	246624.01489105064	246624.01489105064
77	0.0	240454.42506313778	240454.42506313778
78	0.0	237859.12876269763	237859.12876269763
79	0.0	222616.79810380272	222616.79810380272
80	0.0	204409.3296445379	204409.3296445379
81	0.0	208117.85684908045	208117.85684908045
82	0.0	223765.90916733546	223765.90916733546
83	0.0	225451.7011252166	225451.7011252166
84	0.0	221933.68166500487	221933.68166500487
85	0.0	217316.0560487451	217316.0560487451
86	0.0	225305.06414450047	225305.06414450047
87	0.0	211458.57843422875	211458.57843422875
88	0.0	209531.25673724516	209531.25673724516
89	0.0	194349.94716258187	194349.94716258187
90	0.0	178992.15504723822	178992.15504723822
91	0.0	179872.7202267924	179872.7202267924
92	0.0	160078.0195522044	160078.0195522044
93	0.0	173917.15668066245	173917.15668066245
94	0.0	183829.2728215176	183829.2728215176
95	0.0	172733.288879689	172733.288879689
96	0.0	167998.6694919801	167998.6694919801
97	0.0	165129.25972237048	165129.25972237048
98	0.0	166520.16240214565	166520.16240214565
