single_premium=100000.0
type=dynamic_hybrid
benefit_at_maturity=574700.3502400571
irr=0.09137015463206799



t	traditional_part	fund_part	total
0	6184.325744181847	86315.67425581816	92500.0
1	0.0	95679.67878144885	95679.67878144885
2	0.0	98287.52156193671	98287.52156193671
3	0.0	101032.69399010632	101032.69399010632
4	0.0	104700.36735652153	104700.36735652153
5	0.0	106935.02723885253	106935.02723885253
6	0.0	110327.69393710302	110327.69393710302
7	0.0	110285.40764011788	110285.40764011788
8	0.0	114698.50374552065	114698.50374552065
9	0.0	114126.29834143347	114126.29834143347
10	0.0	118813.92719676491	118813.92719676491
11	0.0	120871.59395220944	120871.59395220944
12	0.0	124813.22801673452	124813.22801673452
13	0.0	125673.68504798271	125673.68504798271
14	0.0	126671.49103724526	126671.49103724526
15	0.0	128375.72905587887	128375.72905587887
16	0.0	131296.57239650688	131296.57239650688
17	0.0	131587.88457401402	131587.88457401402
18	0.0	125580.39631499449	125580.39631499449
19	0.0	127931.99803536756	127931.99803536756
20	0.0	134855.3469353951	134855.3469353951
21	0.0	138384.10183753967	138384.10183753967
22	0.0	148524.9220720603	148524.9220720603
23	0.0	145323.79852787504	145323.79852787504
24	0.0	154247.7731910319	154247.7731910319
25	0.0	155147.23524984764	155147.23524984764
26	0.0	148532.5937833941	148532.5937833941
27	0.0	157200.99437504524	157200.99437504524
28	0.0	166418.53862846817	166418.53862846817
29	0.0	173634.89040553352	173634.89040553352
30	0.0	187207.2007821082	187207.2007821082
31	0.0	176453.9294837751	176453.9294837751
32	0.0	185827.77245780113	185827.77245780113
33	0.0	179410.1231373536	179410.1231373536
34	0.0	187410.5179175866	187410.5179175866
35	0.0	190349.87544277875	190349.87544277875
36	0.0	192288.79016416552	192288.79016416552
37	0.0	205820.3166880221	205820.3166880221
38	0.0	216115.16715437357	216115.16715437357
39	0.0	218073.6100194981	218073.6100194981
40	0.0	213951.54193964344	213951.54193964344
41	0.0	222382.61130886016	222382.61130886016
42	0.0	219810.15723001215	219810.15723001215
43	0.0	187758.42510396114	187758.42510396114
44	0.0	199464.55353131017	199464.55353131017
45	0.0	215485.37149442482	215485.37149442482
46	0.0	228211.02073584683	228211.02073584683
47	0.0	241073.78842711565	241073.78842711565
48	0.0	250955.33220818438	250955.33220818438
49	0.0	242852.53972139093	242852.53972139093
50	0.0	252282.77009431872	252282.77009431872
51	0.0	261850.16775464834	261850.16775464834
52	0.0	255296.96059658623	255296.96059658623
53	0.0	269198.18127117	269198.18127117
54	0.0	260566.37516107425	260566.37516107425
55	0.0	258935.66265085785	258935.66265085785
56	0.0	251539.51281135794	251539.51281135794
57	0.0	267263.82990868535	267263.82990868535
58	0.0	272359.3827288777	272359.3827288777
59	0.0	288102.95598780323	288102.95598780323
60	0.0	273451.61944733514	273451.61944733514
61	0.0	267938.3767215795	267938.3767215795
62	0.0	293858.5407028097	293858.5407028097
63	0.0	284796.2114529799	284796.2114529799
64	0.0	278557.62607590714	278557.62607590714
65	0.0	285221.4679583855	285221.4679583855
66	0.0	280551.6761043646	280551.6761043646
67	0.0	297588.0224216042	297588.0224216042
68	0.0	281663.43435959023	281663.43435959023
69	0.0	280268.2626899579	280268.2626899579
70	0.0	257834.3592756988	257834.3592756988
71	0.0	258870.50880780895	258870.50880780895
72	0.0	267827.8523289661	267827.8523289661
73	0.0	243100.742310165	243100.742310165
74	0.0	227490.95365366503	227490.95365366503
75	0.0	244976.66991515007	244976.66991515007
76	0.0	246208.81573893258	246208.81573893258
77	0.0	240049.5842314219	240049.5842314219
78	0.0	237458.62912365297	237458.62912365297
79	0.0	222241.93464105434	222241.93464105434
80	0.0	204065.09728324894	204065.09728324894
81	0.0	207767.3508237832	207767.3508237832
82	0.0	223389.0207719608	223389.0207719608
83	0.0	225071.94497732722	225071.94497732722
84	0.0	221559.8229743793	221559.8229743793
85	0.0	216949.947607901	216949.947607901
86	0.0	224925.46838754605	224925.46838754605
87	0.0	211102.28296747876	211102.28296747876
88	0.0	209178.18031699644	209178.18031699644
89	0.0	194022.42404710638	194022.42404710638
90	52116.335485465584	126574.1493799814	178690.48486544698
91	53595.23613938433	126250.54242363258	179845.7785630169
92	113127.71793622183	53372.11975319006	166499.83768941188
93	96244.69338056722	76025.337709163	172270.0310897302
94	81226.01508257765	96360.47827336282	177586.49335594047
95	107468.20316921199	65131.989811027306	172600.19298023928
96	116563.51988387067	55349.643827486	171913.16371135667
97	121977.99983027551	50180.99716957514	172158.99699985064
98	121749.89681017432	52078.333484821924	173828.23029499623
99	106404.58623155761	72885.03521753853	179289.62144909613
100	93762.94298753135	90325.11126664729	184088.05425417866
101	92453.11487300019	93613.48022129358	186066.59509429376
102	89265.33696582005	99262.45239092372	188527.78935674377
103	85235.74240331253	105976.96634121268	191212.7087445252
104	93567.79751025527	97252.79499069904	190820.5925009543
105	75201.71925140067	121914.77380181241	197116.49305321308
106	75525.45834311353	123228.07189805551	198753.53024116904
107	54358.09843807956	151418.94308990115	205777.0415279807
108	48667.667548579564	160277.46160253635	208945.12915111592
109	45902.70243369461	165493.06659874725	211395.76903244187
110	61941.1374372209	147218.45113847172	209159.5885756926
111	76449.75107419139	130870.25395264893	207320.0050268403
112	74203.84417770655	135479.46176673853	209683.30594444508
113	68722.86770870461	144146.87454562154	212869.74225432615
114	93005.74017607383	115623.95872563051	208629.69890170434
115	95541.10836081086	114300.02131657924	209841.1296773901
116	94774.84511659111	117117.8376583352	211892.6827749263
117	91848.71356583224	122650.32118308343	214499.03474891567
118	76732.90411753484	143434.85215042776	220167.7562679626
119	62599.545098761104	163006.38936550342	225605.93446426452
120	84191.88203586094	137935.99608496486	222127.8781208258
121	78082.37048063407	147508.22399186363	225590.5944724977
122	93975.4481522314	129592.6480259125	223568.0961781439
123	108454.78792871421	113459.80015173831	221914.58808045252
124	98340.39144422012	128084.80237018783	226425.19381440795
125	102402.97801892705	125004.38056369779	227407.35858262485
126	88270.76543713638	144683.38853157868	232954.15396871505
127	99305.53566258441	132919.72585382566	232225.26151641007
128	99731.89191356221	134432.7665552328	234164.658468795
129	113449.28432190341	119348.3270397359	232797.6113616393
130	100321.31707512462	137837.03217087925	238158.34924600387
131	105136.34014673065	133913.57561714103	239049.9157638717
132	95645.92457289739	147888.62576435247	243534.55033724988
133	99979.81759245842	144600.1317990529	244579.94939151133
134	98113.46129375801	149078.9254083285	247192.38670208651
135	95483.29735860892	154529.58985833713	250012.88721694605
136	119407.47619639058	126804.57358522515	246212.04978161573
137	123280.61092956786	124160.74772183652	247441.3586514044
138	124563.70876081985	124771.9918974783	249335.70065829816
139	117812.45421091217	135443.84019932564	253256.2944102378
140	108705.66399093633	149077.91259093778	257783.5765818741
141	94546.9275450999	169044.8642426559	263591.7917877558
142	88694.47072364096	178647.0559494164	267341.52667305735
143	85263.63913670553	185240.44994743192	270504.08908413746
144	80681.02697811137	193291.94889358652	273972.9758716979
145	103636.96570328205	166938.78502719002	270575.7507304721
146	102154.41800548248	171152.40270892959	273306.8207144121
147	77869.04176934855	203888.3784882765	281757.42025762505
148	57767.95074075799	231412.9702755413	289180.9210162993
149	81594.09405351679	204047.6429429841	285641.73699650087
150	114072.4301648576	165886.35091498552	279958.7810798431
151	110711.53625585725	172543.52642714497	283255.0626830022
152	91370.22948751248	199195.80296588247	290566.03245339496
153	85828.37261673632	208618.50825821748	294446.8808749538
154	129172.11352767948	156954.11486746903	286126.22839514853
155	139419.6797640854	146679.99703774258	286099.67680182797
156	179865.97735474858	98677.68217211662	278543.65952686523
157	196532.17656647207	80420.86865153586	276953.04521800793
158	200792.61745543338	77691.79390577337	278484.4113612068
159	188273.23492776815	95958.20309795236	284231.43802572053
160	187028.43503338267	100152.25376761344	287180.6888009961
161	224461.11664868944	56020.4887377104	280481.60538639984
162	228209.1158616697	54015.78064378031	282224.89650545
163	227057.97690345673	58156.368280046445	285214.3451835032
164	249773.70527722198	32484.915198977105	282258.6204761991
165	272551.0379899311	6758.171932341938	279309.20992227306
166	274495.9320919944	7093.865327486419	281589.7974194808
167	274202.0284153945	10250.118885595293	284452.1473009898
168	277739.75745418045	8639.070422086224	286378.8278762667
169	281512.4225897737	6756.768046075595	288269.1906358493
170	279112.9082703565	12612.28494733019	291725.19321768667
171	274475.95406842243	21287.376835604955	295763.3309040274
172	270339.4475803849	29359.865827499016	299699.3134078839
173	270956.3064831338	31513.787887216313	302470.0943703501
174	262315.1207066356	45263.59012236382	307578.7108289994
175	257404.689868748	54373.459002073214	311778.1488708212
176	251080.58591792267	65274.11706535582	316354.7029832785
177	258051.43386209704	59579.97202181432	317631.40588391136
178	246009.34605307094	77676.0739080928	323685.4199611638
179	242689.0166322036	84894.2470427719	327583.2636749755
180	257679.0300755037	69248.95435711747	326927.98443262116
181	251714.60576629185	79821.3666914613	331535.97245775315
182	235225.52855082875	103574.44961297153	338799.97816380026
183	232143.85433356094	110593.33143399912	342737.18576756003
184	271689.56970498024	64353.22868975694	336042.7983947372
185	287316.8450994432	48036.62970364705	335353.47480309027
186	275319.29115660844	66276.7241481677	341596.01530477614
187	289720.18506676436	51544.62012605771	341264.80519282207
188	272991.785387138	75750.20066281664	348741.98604995466
189	263933.03587176994	90394.99393237084	354328.0298041408
190	267384.75210677244	89428.18997611321	356812.94208288565
191	246583.6319670935	118804.1276451663	365387.7596122598
192	239335.12962450058	131266.20210372523	370601.3317282258
193	226481.84906374104	150761.37294728658	377243.2220110276
194	231679.898063306	147719.72174022987	379399.61980353587
195	219292.60854993336	166687.3015863329	385979.91013626626
196	233367.16574812678	152605.3507056262	385972.516453753
197	249143.41944087003	136424.2783723629	385567.6978132329
198	264917.74130776234	120273.84325632245	385191.58456408477
199	295791.0705265088	85278.09643503278	381069.1669615416
200	322676.78723026195	55295.53958628996	377972.3268165519
201	300259.36469105555	86970.80977317644	387230.174464232
202	304455.8706510202	85407.80279446568	389863.6734454859
203	303945.286732474	89758.02393654827	393703.31066902226
204	290833.1653830833	109889.76680663618	400722.93218971946
205	276170.4969741106	131989.52947472513	408160.02644883574
206	263534.3602606416	151586.20141320076	415120.56167384237
207	272645.89272465766	144028.60058300663	416674.4933076643
208	313045.8170298569	97391.06538024615	410436.88241010305
209	300381.86346641683	117114.17659547851	417496.0400618953
210	297910.35102752235	124127.78108342898	422038.13211095135
211	291718.58106243017	135822.99971215194	427541.5807745821
212	282562.835647093	151254.7294153669	433817.5650624599
213	299048.6307463186	134666.3267555012	433714.9575018198
214	301493.30057249847	135661.37749114598	437154.67806364445
215	301661.1235731292	139534.78910864738	441195.91268177656
216	277646.16300333926	173669.24012256932	451315.4031259086
217	275186.17472101434	180892.79534803587	456078.9700690502
218	254622.1364829139	210779.49429696484	465401.6307798787
219	245809.05415936388	226010.84342621092	471819.89758557477
220	234019.87651741877	244995.9226752547	479015.79919267347
221	256242.8408827458	221499.7034056214	477742.5442883672
