single_premium=100000.0
type=static_hybrid
benefit_at_maturity=250602.842095752
irr=0.04700631132485511



t	traditional_part	fund_part	total
0	57788.74088812783	34711.25911187217	92500.0
1	57928.2561141504	35965.70513325027	93893.96124740067
2	58068.115422357674	36947.1246709639	95015.24009332157
3	58208.31966134916	37980.197866555645	96188.5175279048
4	58348.86968181722	39360.08849053248	97708.9581723497
5	58489.76633655225	40201.30521186117	98691.07154841343
6	58631.01048044788	41477.88849296623	100108.89897341412
7	58772.602970506116	41463.130286939435	100235.73325744555
8	58914.544665842564	43123.426471637824	102037.97113748039
9	59056.83642769165	42909.43272066916	101966.2691483608
10	59199.47911941183	44673.03623696716	103872.51535637898
11	59342.47360649084	45447.84113352267	104790.3147400135
12	59485.820756550944	46931.0390641525	106416.85982070345
13	59629.52143935418	47255.71920891664	106885.24064827082
14	59773.57652680768	47632.05302964819	107405.62955645587
15	59917.98689296891	48274.034220345755	108192.02111331467
16	60062.75341405101	49373.51927908527	109436.27269313627
17	60207.8769684281	49484.20567395495	109692.08264238306
18	60353.3584366406	47226.20287034037	107579.56130698096
19	60499.19870140058	48111.69417415925	108610.89287555983
20	60645.39864759712	50716.5144120586	111361.91305965572
21	60791.959162301675	52044.7513711128	112836.71053341447
22	60938.881134773466	55859.74307442806	116798.62420920152
23	61086.16545646485	54656.950697743254	115743.11615420811
24	61233.813021026755	58014.438580188544	119248.2516012153
25	61381.824724314094	58353.87694129608	119735.70166561018
26	61530.2014643912	55867.122215609736	117397.32368000093
27	61678.944141537264	59128.681850459056	120807.62599199632
28	61828.053658251825	62596.85611799162	124424.90977624344
29	61977.53091926022	65312.36275902663	127289.89367828685
30	62127.37683151909	70418.69593658048	132546.07276809958
31	62277.59230422187	66374.95231969646	128652.54462391834
32	62428.17824880431	69902.1593676849	132330.3376164892
33	62579.13557895001	67489.19554412628	130068.33112307629
34	62730.46521059595	70499.86594846926	133230.33115906522
35	62882.16806193807	71606.7300588294	134488.89812076747
36	63034.24505343683	72337.26041514825	135371.5054685851
37	63186.69710782279	77428.8353864813	140615.5324943041
38	63339.5251501022	81302.8598720385	144642.3850221407
39	63492.730107562646	82040.76926250014	145533.49937006278
40	63646.312909778644	80491.15950288772	144137.47241266636
41	63800.274488617295	83664.17002960769	147464.44451822498
42	63954.61577824393	82697.50868725039	146652.12446549433
43	64109.3377151278	70640.06877126175	134749.40648638955
44	64264.44123804771	75045.38803347679	139309.8292715245
45	64419.92728809777	81074.10802514611	145494.0353132439
46	64575.79680869309	85863.14018211096	150438.93699080404
47	64732.05074557548	90703.82600073046	155435.87674630593
48	64888.6900468192	94422.88949007605	159311.57953689527
49	65045.71566283674	91375.32359710941	156421.03925994615
50	65203.128546384534	94924.66792377834	160127.79647016287
51	65360.9296525688	98525.6658621346	163886.5955147034
52	65519.119938851276	96061.04839963229	161580.16833848355
53	65677.70036505509	101292.82617773493	166970.52654279
54	65836.67189337053	98046.02472258624	163882.69661595678
55	65996.03548836091	97433.5599336295	163429.5954219904
56	66155.79211696843	94651.64141234827	160807.43352931668
57	66315.94274852	100569.67499855977	166885.61774707976
58	66476.48835473318	102488.2394702777	168964.7278250109
59	66637.42990972205	108413.65207143639	175051.08198115844
60	66798.76839000308	102901.46867075724	169700.23706076032
61	66960.50477450114	100827.94315937202	167788.44793387316
62	67122.64004455537	110583.10564438802	177705.7456889434
63	67285.17518392517	107173.96407225907	174459.13925618422
64	67448.11117879613	104827.41209955959	172275.52327835571
65	67611.44901778606	107336.30410358761	174947.75312137365
66	67775.18969195096	105580.07973218338	173355.26942413434
67	67939.33419479105	111992.51258647772	179931.84678126877
68	68103.88352225679	106000.68805815086	174104.57158040765
69	68268.83867275491	105476.77234337597	173745.6110161309
70	68434.20064715449	97035.08854041382	165469.2891875683
71	68599.97044879301	97426.1805078987	166026.1509566917
72	68766.14908348248	100798.42650585086	169564.57558933334
73	68932.73755951549	91493.38870112605	160426.12626064155
74	69099.73688767134	85619.62970909096	154719.36659676232
75	69267.14808122223	92201.78172775895	161468.9298089812
76	69434.97215593931	92666.6646786606	162101.6368345999
77	69603.21013009893	90349.62906303533	159952.83919313428
78	69771.86302448878	89375.58859517923	159147.451619668
79	69940.93186241407	83649.41153715597	153590.34339957003
80	70110.41766970378	76808.99128123207	146919.40895093585
81	70280.32147471684	78203.64009439822	148483.96156911505
82	70450.6443083484	84084.77811753676	154535.42242588516
83	70621.38720403609	84719.3802324021	155340.76743643818
84	70792.55119776624	83398.52240846383	154191.0736062301
85	70964.13732808024	81664.43527969958	152628.57260777982
86	71136.14663608077	84667.72663321024	155803.873269291
87	71308.58016543818	79465.4652380738	150774.04540351196
88	71481.43896239677	78742.3140086416	150223.75297103837
89	71654.72407578118	73038.2741691445	144692.9982449257
90	71828.43655700273	67267.82250549545	139096.25906249817
91	72002.57746006578	67599.88177008384	139602.45923014963
92	72177.14784157417	60161.754833517305	132338.90267509146
93	72352.14876073762	65364.016254224036	137716.16501496165
94	72527.58127937812	69090.4588236553	141618.04010303342
95	72703.44646193643	64921.27060181331	137624.71706374973
96	72879.74537547848	63142.908918860056	136022.65429433854
97	73056.4790897019	62065.56119716938	135122.04028687128
98	73233.64867694245	62589.47689467321	135823.12557161564
99	73411.2552121806	67658.91458005215	141070.16979223274
100	73589.29977304795	71104.95157031152	144694.25134335947
101	73767.7834398339	71909.27286402708	145677.05630386097
102	73946.70729549209	73075.16976077943	147021.87705627154
103	74126.07242564703	74381.26945387699	148507.341879524
104	74305.87991860068	73495.77814377072	147801.6580623714
105	74486.13086533903	77532.14268728181	152018.27355262084
106	74666.82635953875	78085.57471993362	152752.4010794724
