single_premium=100000.0
type=static_hybrid
benefit_at_maturity=937059.7329174294
irr=0.11837735225921864



t	traditional_part	fund_part	total
0	75236.86514883637	17263.13485116363	92500.0
1	76004.02251682903	17887.015153539323	93891.03767036836
2	76779.03315539607	18375.109744706788	95154.14290010286
3	77561.97745724604	18888.89352388762	96450.87098113366
4	78352.93663805518	19575.161856730112	97928.09849478528
5	79151.99274489193	19993.528636585237	99145.52138147717
6	79959.22866472782	20628.418579915473	100587.6472446433
7	80774.7281330354	20621.078802928972	101395.80693596437
8	81598.57574247422	21446.80272256396	103045.37846503817
9	82430.85695166572	21340.37607383963	103771.23302550535
10	83271.65809405794	22217.478377380834	105489.13647143877
11	84121.06638688102	22602.81621169768	106723.8825985787
12	84979.16994019428	23340.462916039556	108319.63285623383
13	85846.05776602599	23501.937816863356	109347.99558288934
14	86721.81978760674	23689.10191469697	110410.92170230372
15	87606.54684869722	24008.38182993151	111614.92867862873
16	88500.33072301155	24555.194573735665	113055.52529674722
17	89403.26412373708	24610.242826369376	114013.50695010646
18	90315.44071315165	23487.258299433222	113802.69901258487
19	91236.95511233922	23927.644392547598	115164.5995048868
20	92167.90291100509	25223.113476079532	117391.01638708462
21	93108.38067739148	25883.692617405166	118992.07329479665
22	94058.4859682947	27781.02270324686	121839.50867154155
23	95018.31733918478	27182.831582327264	122201.14892151204
24	95987.97435442875	28852.628863059635	124840.60321748839
25	96967.5575976186	29021.443546000748	125989.00114361935
26	97957.16868200485	27784.692610722548	125741.8612927274
27	98956.91026103709	29406.78138658773	128363.69164762482
28	99966.88603901229	31131.626915088673	131098.51295410097
29	100987.20078183214	32482.14425536528	133469.34503719743
30	102017.96032787059	35021.70405511143	137039.664382982
31	103059.27159895255	33010.60756515653	136069.87916410906
32	104111.24261144498	34764.81217989415	138876.05479133912
33	105173.9824874616	33564.76006588643	138738.74255334804
34	106247.60146618224	35062.07276823101	141309.67423441325
35	107332.21091528803	35612.55537496897	142944.766290257
36	108427.92334251372	35975.87391704074	144403.79725955447
37	109534.85240731823	38508.093939703904	148042.94634702214
38	110653.1129326747	40434.78311267055	151087.89604534526
39	111782.82091698113	40801.77150898378	152584.59242596492
40	112924.09354609309	40031.09585701013	152955.18940310323
41	114077.04920547952	41609.146034630845	155686.19524011036
42	115241.80749250297	41128.391215143085	156370.19870764605
43	116418.48922882557	35131.80058273003	151550.2898115556
44	117607.21647294202	37322.72140876356	154929.93788170558
45	118808.11253284081	40321.01674171785	159129.12927455865
46	120021.30197879513	42702.771539657944	162724.07351845308
47	121246.91065628467	45110.215527489614	166357.1261837743
48	122485.06569904971	46959.83712518767	169444.90282423736
49	123735.89554227881	45444.17499352804	169180.07053580685
50	124999.52993593163	47209.38925864645	172208.91919457808
51	126276.0999581979	49000.29268880593	175276.3926470038
