alpha=0.025
beta=0.05
gamma=0.001
regular_charges=3.0
premium=100.0
guaranteed_benefit=0.8
guaranteed_interest=0.0025
real_interest=0.03
fund=sp500
age=37.0
life_table=2008T_M
maturity=360.0
worst_case=0.2
start_date=01/01/1985
contract_type=pure_fund_regular_premium
type=pure_fund_regular_premium
benefit_at_maturity=101213.67599284508
irr=1.0618191873017544



t	traditional_part	fund_part	total
0	0	0	0
1	0	76.16494099185842	76.16494099185842
2	0	151.23889207355913	151.23889207355913
3	0	225.60208699219393	225.60208699219393
4	0	317.50573688814103	317.50573688814103
5	0	397.5583665141677	397.5583665141677
6	0	470.83118140133627	470.83118140133627
7	0	539.741548349657	539.741548349657
8	0	594.0304333382702	594.0304333382702
9	0	697.8334814701806	697.8334814701806
10	0	823.8490367171069	823.8490367171069
11	0	939.8165783638863	939.8165783638863
12	0	1017.7118674896658	1017.7118674896658
13	0	1171.0254912322303	1171.0254912322303
14	0	1312.3279538330335	1312.3279538330335
15	0	1367.963079325733	1367.963079325733
16	0	1515.6690128698574	1515.6690128698574
17	0	1613.5732912345793	1613.5732912345793
18	0	1589.9661914471753	1589.9661914471753
19	0	1783.8533538717456	1783.8533538717456
20	0	1700.4450798246319	1700.4450798246319
21	0	1873.3383877138835	1873.3383877138835
22	0	1990.2574077022011	1990.2574077022011
23	0	2007.6231895147998	2007.6231895147998
24	0	2357.3651164613643	2357.3651164613643
25	0	2522.2672978898036	2522.2672978898036
26	0	2666.083327202024	2666.083327202024
27	0	2710.340020431851	2710.340020431851
28	0	2802.030319368469	2802.030319368469
29	0	3015.166484121212	3015.166484121212
30	0	3239.8804399412575	3239.8804399412575
31	0	3430.6223115641574	3430.6223115641574
32	0	3420.860274094391	3420.860274094391
33	0	2735.6381658857495	2735.6381658857495
34	0	2570.898727960722	2570.898727960722
35	0	2839.2003460916903	2839.2003460916903
36	0	3032.4196401214704	3032.4196401214704
37	0	3236.875800427361	3236.875800427361
38	0	3201.9366552753977	3201.9366552753977
39	0	3307.445446375972	3307.445446375972
40	0	3394.2291804505567	3394.2291804505567
41	0	3618.8831732214544	3618.8831732214544
42	0	3673.7643047214383	3673.7643047214383
43	0	3604.1877235892457	3604.1877235892457
44	0	3825.657139323719	3825.657139323719
45	0	4002.6630638105594	4002.6630638105594
46	0	4000.349696563914	4000.349696563914
47	0	4135.061677235774	4135.061677235774
48	0	4510.403679989327	4510.403679989327
49	0	4452.850799552621	4452.850799552621
50	0	4621.8849381509535	4621.8849381509535
51	0	4931.016786838178	4931.016786838178
52	0	5182.2783759532995	5182.2783759532995
53	0	5216.294738544363	5216.294738544363
54	0	5758.8873871962405	5758.8873871962405
55	0	5923.271720036698	5923.271720036698
