alpha=0.025
beta=0.05
gamma=0.001
regular_charges=3.0
premium=100000.0
guaranteed_benefit=0.8
guaranteed_interest=0.0025
real_interest=0.03
fund=sp500
age=37.0
life_table=2008T_M
maturity=240.0
worst_case=0.2
start_date=01/01/1995
contract_type=pure_fund_single_premium
type=pure_fund_single_premium
benefit_at_maturity=383224.09565710236
irr=0.06947993355720516



t	traditional_part	fund_part	total
0	0	92500.0	92500.0
1	0	95831.8009494722	95831.8009494722
2	0	98435.53622616138	98435.53622616138
3	0	101176.35816552049	101176.35816552049
4	0	104840.43139306072	104840.43139306072
5	0	107069.12410012224	107069.12410012224
6	0	110456.77473925587	110456.77473925587
7	0	110405.26886601285	110405.26886601285
8	0	114813.5021443601	114813.5021443601
9	0	114231.24724453273	114231.24724453273
10	0	118913.18216850118	118913.18216850118
11	0	120962.46340237495	120962.46340237495
12	0	124896.58212158016	124896.58212158016
13	0	125747.14116380205	125747.14116380205
14	0	126734.9719877933	126734.9719877933
15	0	128429.34762779229	128429.34762779229
16	0	131340.423595011	131340.423595011
17	0	131620.88371163706	131620.88371163706
18	0	125601.58480697141	125601.58480697141
19	0	127942.89058533979	127942.89058533979
20	0	134855.45346135832	134855.45346135832
21	0	138372.62599308646	138372.62599308646
22	0	148500.03411712078	148500.03411712078
23	0	145287.42792876193	145287.42792876193
24	0	154196.15818543886	154196.15818543886
25	0	155082.40086774967	155082.40086774967
26	0	148458.30264785356	148458.30264785356
27	0	157109.12211879785	157109.12211879785
28	0	166307.26592938378	166307.26592938378
29	0	173504.22464423234	173504.22464423234
30	0	187050.51931450912	187050.51931450912
31	0	176291.7493793531	176291.7493793531
32	0	185641.3667890712	185641.3667890712
33	0	179215.3435965706	179215.3435965706
34	0	187191.33847459097	187191.33847459097
35	0	190111.38723897593	190111.38723897593
36	0	192031.85768437595	192031.85768437595
37	0	205527.9825354945	205527.9825354945
38	0	215790.09489838386	215790.09489838386
39	0	217727.43708365085	217727.43708365085
40	0	213594.18583006188	213594.18583006188
41	0	221992.5710441327	221992.5710441327
42	0	219406.39511207395	219406.39511207395
43	0	187398.37532134663	187398.37532134663
44	0	199065.29585690692	199065.29585690692
45	0	215035.9000634574	215035.9000634574
46	0	227715.86600580288	227715.86600580288
47	0	240530.5249817085	240530.5249817085
48	0	250368.82604959817	250368.82604959817
49	0	242264.89131963375	242264.89131963375
50	0	251651.2272042601	251651.2272042601
51	0	261172.80778773857	261172.80778773857
52	0	254615.4210776931	254615.4210776931
53	0	268457.00680857425	268457.00680857425
54	0	259827.4208706722	259827.4208706722
55	0	258179.8471927317	258179.8471927317
56	0	250784.48369284516	250784.48369284516
57	0	266439.2209093973	266439.2209093973
58	0	271496.3792078975	271496.3792078975
59	0	287165.97124978114	287165.97124978114
60	0	272539.7340458518	272539.7340458518
61	0	267022.6935604669	267022.6935604669
62	0	292829.5894259888	292829.5894259888
63	0	283775.4439075148	283775.4439075148
64	0	277536.1638714742	277536.1638714742
65	0	284151.825294131	284151.825294131
66	0	279476.31229092606	279476.31229092606
67	0	296422.4793569034	296422.4793569034
68	0	280537.0506486701	280537.0506486701
69	0	279124.21878681064	279124.21878681064
70	0	256760.7397879528	256760.7397879528
71	0	257771.0882364268	257771.0882364268
72	0	266668.06961994374	266668.06961994374
73	0	242028.15070360232	242028.15070360232
74	0	226468.56175868277	226468.56175868277
75	0	243855.14773905775	243855.14773905775
76	0	245061.221575501	245061.221575501
77	0	238910.8701834272	238910.8701834272
78	0	236312.55097984363	236312.55097984363
79	0	221151.06789634857	221151.06789634857
80	0	203046.7823296151	203046.7823296151
81	0	206713.28674878879	206713.28674878879
82	0	222236.96337195116	222236.96337195116
83	0	223892.53304892185	223892.53304892185
84	0	220380.50171605076	220380.50171605076
85	0	215777.24962173644	215777.24962173644
86	0	223690.91262803742	223690.91262803742
87	0	209926.29404224985	209926.29404224985
88	0	207995.60876881002	207995.60876881002
89	0	192909.6806880818	192909.6806880818
